# Q Iq dIq dQ fit
1.821000000000000049e-02 3.660000000000000142e+01 3.966999999999999971e-01 1.353999999999999952e-03 3.596747458098715811e+01
1.862000000000000113e-02 3.459000000000000341e+01 3.493999999999999884e-01 1.366000000000000027e-03 3.436489829128267814e+01
1.902999999999999831e-02 3.364000000000000057e+01 3.796999999999999820e-01 1.378000000000000102e-03 3.289412312919757397e+01
1.927999999999999853e-02 3.299000000000000199e+01 2.485999999999999877e-01 2.285999999999999838e-03 3.286760174354373731e+01
1.943999999999999895e-02 3.192000000000000171e+01 3.383999999999999786e-01 1.391000000000000092e-03 3.152360648585474578e+01
1.984000000000000000e-02 3.060999999999999943e+01 3.320000000000000173e-01 1.402999999999999950e-03 3.027392674064110523e+01
2.025000000000000064e-02 2.992000000000000171e+01 3.044000000000000039e-01 1.415999999999999941e-03 2.906907450019556549e+01
2.060999999999999985e-02 2.901000000000000156e+01 2.240000000000000047e-01 2.311000000000000120e-03 2.866243896837949379e+01
2.066000000000000128e-02 2.850000000000000000e+01 3.119000000000000106e-01 1.428999999999999932e-03 2.793544675037171032e+01
2.106999999999999845e-02 2.753000000000000114e+01 3.257999999999999785e-01 1.441999999999999922e-03 2.685956803667755466e+01
2.147999999999999909e-02 2.660999999999999943e+01 2.948000000000000065e-01 1.454999999999999913e-03 2.586036483683868781e+01
2.188999999999999974e-02 2.530999999999999872e+01 2.803999999999999826e-01 1.469000000000000037e-03 2.486287314982105201e+01
2.194000000000000117e-02 2.560999999999999943e+01 1.899000000000000132e-01 2.337000000000000102e-03 2.525543389015753348e+01
2.230000000000000038e-02 2.460999999999999943e+01 2.968999999999999972e-01 1.482000000000000027e-03 2.400471656937575204e+01
2.271000000000000102e-02 2.351999999999999957e+01 2.767000000000000015e-01 1.495999999999999934e-03 2.315518124557874557e+01
2.312000000000000166e-02 2.280000000000000071e+01 2.750000000000000222e-01 1.508999999999999925e-03 2.229392053816946273e+01
2.326999999999999902e-02 2.276000000000000156e+01 1.847000000000000031e-01 2.364999999999999915e-03 2.241125940537010663e+01
2.352999999999999883e-02 2.167999999999999972e+01 2.684000000000000274e-01 1.523000000000000048e-03 2.154053172397089355e+01
2.392999999999999988e-02 2.132999999999999829e+01 2.596999999999999864e-01 1.536999999999999955e-03 2.084351271975812026e+01
2.434000000000000052e-02 2.044999999999999929e+01 2.730000000000000204e-01 1.551000000000000078e-03 2.013037743903673160e+01
