Chisq rho_SiOx rho_Cr rho_Au d_oxide d_Cr d_Au l_tether l_lipid1 dl_lipid_on1 dl_lipid_off penetration nf_tether mult_tether vf_bilayer ExProtons scalarmult_off1 scalarmult_off2 d_on1 d_on2 d_on3 d_on4 d_on5 d_on6 d_on7 vf_on1 vf_on2 vf_on3 vf_on4 vf_on5 vf_on6 rho_solv_0 rho_solv_1 rho_solv_h2o rho_solv_5 global_rough sigma rough_au_cr background_1 background_2 background_3 background_4 background_5
2.68585 3.5463696e-06 4.1130899e-06 4.4374546e-06 5.9999045 38.69386 112.55664 13.975327 13.290642 0.50544 0.318168 -5.321896 0.6814235 2.1851281 0.999942 0.7358844 0.7412959 0.7297561 12.187396 11.768272 12.16738 11.309104 11.508064 10.49116 12.153884 0.1695204 0.4200372 0.2546496 0.02545404 0.01341066 0.01490073 6.1452992e-06 3.7604592e-06 -4.59319934e-07 3.8937604e-06 3.189748 3.76679 3.678692 5.48975476e-07 1.967321657e-06 1.748605409e-06 1.954274267e-06 1.352754595e-06
2.82424 3.7347416e-06 4.1578944e-06 4.4470468e-06 5.0616896 44.24598 106.68048 14.256235 13.05414 0.515736 0.203368 -6.4312 0.602516 4.0221919 0.9999624 0.5655524 0.5671765 0.5671675 12.292872 12.200636 11.519484 10.15588 11.4854 9.1838452 9.772828 0.1599018 0.4150476 0.282339 0.2115576 0.0207213 0.00996651 6.14378336e-06 3.7617798e-06 -5.17709438e-07 3.8910376e-06 4.337548 3.325343 5.029772 8.2060957e-07 2.518436412e-06 2.399455213e-06 2.235443022e-06 1.253324485e-06
3.03897 3.796e-06 4.0961106e-06 4.4377312e-06 5.00002353703 37.08664 114.92324 14.515273 13.444068 -3.92 -0.693032 -5.505992 0.680037 2.6626942 0.996 0.504 0.5222071 0.4528441 11.840012 11.46302 12.96 10.10262 11.8879 10.789688 10.521252 0.1753902 0.594 0.2912262 0.2420286 0.01551786 0.01724208 6.15141344e-06 3.7578774e-06 -5.295547e-07 3.8873184e-06 5.014236 3.650606 5.96 9.9001e-07 2.564302237e-06 3.036872704e-06 2.362992507e-06 1.116511853e-06
2.91611 3.5998124e-06 4.1318021e-06 4.4326681e-06 5.00000140972 36.99546 114.81908 13.922911 13.026588 -0.504376 0.103584 -4.68708 0.722862 3.2355874 0.9863632 0.756448 0.5271013 0.5219641 11.70246 10.099464 12.262508 10.675184 10.689288 9.357082 12.362168 0.256614 0.4860552 0.286857 0.1737834 0.0513591 0.0570657 6.14263808e-06 3.7606314e-06 -4.90798514e-07 3.8877108e-06 4.786424 2.565578 3.233048 4.96005499e-07 2.41746661e-06 2.361137878e-06 1.509388262e-06 1.433453452e-06
2.87836 3.7036672e-06 4.1361922e-06 4.4442784e-06 5.00007896735 40.74182 110.16204 14.307427 13.12183 0.692424 -0.099528 -6.3544 0.597019 3.8720089 0.9960396 0.7924816 0.7614145 0.6402493 12.53682 11.615816 10.042932 9.683944 10.079948 11.064708 10.203304 0.1502232 0.4452852 0.2596962 0.0943302 0.1048113 0.0848688 6.14435552e-06 3.7610412e-06 -5.20113284e-07 3.8863268e-06 4.770776 3.567095 4.497108 9.00543556e-07 2.82453518e-06 1.667696594e-06 2.445376027e-06 1.41096795e-06
2.78863 3.750352e-06 4.1559444e-06 4.4568856e-06 6.348875 40.392 109.0707 14.746735 13.126912 2.69768 -0.347624 -2.35508 0.6817135 3.4447546 0.9990912 0.6958236 0.5486365 0.4468555 10.151472 9.948816 11.138652 11.20314 10.494244 11.54764 9.9351 0.1844574 0.4970628 0.2109348 0.234372 0.1875132 0.0804573 6.1431056e-06 3.7613718e-06 -4.50225292e-07 3.8891864e-06 4.70878 3.526424 5.254224 6.67116217e-07 1.939652192e-06 3.155998874e-06 2.810777932e-06 1.055719014e-06
2.69184 3.7167104e-06 4.1410126e-06 4.4380276e-06 5.000537606 38.23568 112.5363 14.347936 13.264014 2.234792 0.164912 -4.419064 0.662869 3.2612185 0.996 0.6834168 0.5502412 0.5325265 10.505516 12.117756 12.258516 9.643504 10.567484 11.417312 10.526348 0.1467234 0.4822578 0.1351398 0.0877218 0.0974688 0.0537504 6.14357408e-06 3.760083e-06 -4.76039288e-07 3.889526e-06 4.173368 3.894635 4.458108 9.08102989e-07 2.713552381e-06 1.754584213e-06 2.479474206e-06 1.603819372e-06
2.83725 3.687642e-06 4.1258195e-06 4.4438509e-06 5.0000676251 34.71266 115.31582 14.740327 13.172286 -1.042832 0.585168 -5.6142 0.5096293 4.6536931 0.9976176 0.548356 0.4797388 0.4348144 12.317908 10.136112 10.207988 9.945048 10.472084 11.589176 12.120424 0.20193 0.228768 0.332733 0.349818 0.0661314 0.0657906 6.1440032e-06 3.7600746e-06 -5.17118312e-07 3.8937568e-06 4.691912 3.117407 2.585408 2.5983091e-07 2.529149269e-06 2.99645079e-06 2.38872236e-06 1.253819386e-06
2.78174 3.4615576e-06 4.1196965e-06 4.4420485e-06 5.0347454 37.16542 114.24146 14.626135 13.010852 0.794528 -0.13392 -6.357048 0.722886 3.1275091 0.9999636 0.715434 0.461413 0.4370554 9.2531204 9.612204 10.143504 10.681048 10.082344 11.806456 9.722672 0.146136 0.3130038 0.3575706 0.1713828 0.1685964 0.144387 6.14235392e-06 3.760581e-06 -4.65644036e-07 3.8789056e-06 4.47496 3.450161 4.386872 9.36021043e-07 2.131658783e-06 1.933228477e-06 2.936672748e-06 1.222120727e-06
2.78 3.6965996e-06 4.1341876e-06 4.4365891e-06 5.31623165 36.6781 113.81046 14.558464 12.99562 0.083824 0.200352 -3.484408 0.864485 2.5174216 0.9954728 0.7464856 0.7516936 0.6617692 12.594188 11.776996 11.52526 11.789512 11.271264 9.03573072 10.735812 0.0544098 0.4527732 0.1871166 0.05587308 0.00770247 0.001355214 6.142712e-06 3.7605846e-06 -4.84565048e-07 3.8844184e-06 5.09602 3.120506 3.665548 8.26926247e-07 2.687457601e-06 1.685902952e-06 2.006863747e-06 1.044586241e-06
2.85345 3.7207176e-06 4.1330189e-06 4.4324938e-06 5.0000614214 34.73296 115.95016 14.347279 12.998728 -3.042592 0.3362 -5.991456 0.618151 3.9935611 0.9995976 0.5697924 0.3200338 0.3165499 12.018884 10.659376 11.043236 11.768736 10.472936 10.371332 10.997768 0.3238746 0.5094462 0.3663672 0.0796392 0.0802101 0.0662088 6.1442336e-06 3.7596462e-06 -4.67143514e-07 3.884414e-06 4.867984 3.042197 2.893284 6.32283085e-07 2.596620772e-06 2.14197172e-06 2.50989812e-06 1.359558234e-06
2.70731 3.5265096e-06 4.1576474e-06 4.4315113e-06 5.33322995 41.98866 108.75466 14.668507 13.14773 1.631496 0.00904 -4.186584 0.5578745 4.4656327 0.9996328 0.51389176 0.6069412 0.4960018 10.007324 9.1027336 9.694372 9.50948 9.98588 9.1195472 9.513604 0.1075116 0.342957 0.3110946 0.2378514 0.1156056 0.1047897 6.14486912e-06 3.7618074e-06 -4.93636782e-07 3.8794968e-06 4.115064 3.544967 5.332168 8.55388756e-07 2.231688773e-06 2.674720149e-06 2.500744951e-06 7.77164736e-07
2.73031 3.6002364e-06 4.1481262e-06 4.4435656e-06 5.06899265 40.27714 110.09472 14.436991 13.18315 -1.490064 -0.26684 -2.58868 0.6006115 3.7169749 0.9966856 0.6950376 0.5165452 0.5165452 11.170496 12.09438 11.64184 9.2847748 11.104452 11.218544 10.8865 0.3413112 0.4193454 0.190419 0.2115768 0.00575658 0.00639621 6.14266688e-06 3.7602552e-06 -4.87238312e-07 3.8841432e-06 4.321936 3.25163 4.696828 8.70372757e-07 2.289967115e-06 1.562577622e-06 2.236347841e-06 1.322810585e-06
2.85318 3.6777424e-06 4.1294205e-06 4.4429641e-06 5.1137663 42.39102 109.21094 14.672197 12.97833 0.575672 -0.037616 -7.417656 0.7716895 2.9432701 0.9999724 0.50461656 0.6168313 0.3634417 10.930088 9.0737912 12.173928 10.383516 11.96898 12.025608 10.572276 0.2804778 0.3217998 0.3841728 0.351819 0.00627534 8.73786e-05 6.14427104e-06 3.7593828e-06 -4.55538952e-07 3.8878904e-06 3.87676 3.498959 2.1894204 1.21622257e-07 2.770291031e-06 2.410358032e-06 2.514422215e-06 9.87647631e-07
2.48562 3.797452e-06 4.1259976e-06 4.4353516e-06 5.00003826701 36.14878 114.53038 14.370814 13.105212 0.607072 -0.530632 -3.8066 0.591434 4.2741469 0.9960396 0.557162 0.669898 0.6280237 11.91024 11.044264 10.8387 9.254502 11.818844 11.353324 12.32302 0.1835694 0.577347 0.0992184 0.1102428 0.1224918 0.02389707 6.14435552e-06 3.7619508e-06 -5.12532894e-07 3.888272e-06 4.468528 3.241193 5.737928 9.95187817e-07 2.468816338e-06 2.231883734e-06 2.028399439e-06 1.41711672e-06
2.78334 3.561904e-06 4.1163256e-06 4.4459053e-06 5.0000849834 38.12164 112.89552 14.159773 13.209918 0.659688 0.208696 -7.5594576 0.51516555 4.8279727 0.996 0.7958304 0.6228451 0.6194008 10.657008 9.753888 9.544708 9.541076 9.15143 11.076576 9.800028 0.02680068 0.3722688 0.5162256 0.0903966 0.0776358 0.0633423 6.1426928e-06 3.758091e-06 -4.75733682e-07 3.8895376e-06 4.256248 3.155972 4.76086 4.55050495e-07 2.918301423e-06 1.260762997e-06 2.171805752e-06 1.168551443e-06
2.77612 3.61768e-06 4.1477141e-06 4.4248534e-06 5.2456928 37.73184 113.80116 14.225113 13.00815 -1.155744 -0.106688 -1.009064 0.6770465 3.5307064 0.9999752 0.6714304 0.605026 0.5987431 9.457444 10.754188 12.475148 9.778388 12.367892 9.0207968 11.757884 0.246645 0.413775 0.1482198 0.1646886 0.00892239 0.00991377 6.1443344e-06 3.7605978e-06 -5.15755452e-07 3.889232e-06 4.36742 3.229355 5.585344 9.14707378e-07 2.167686576e-06 1.532078723e-06 2.512772545e-06 1.175075138e-06
2.8081 3.7545916e-06 4.1517935e-06 4.4355751e-06 5.691236 35.79968 113.8015 14.744485 13.303368 -0.858 -0.182168 -2.916616 0.5057028 4.5543169 0.9956572 0.7903196 0.7016707 0.6487471 11.956056 10.641148 9.1275828 12.427644 11.066852 9.1179764 11.507888 0.2162922 0.5304492 0.1037994 0.1153326 0.00906933 0.00584772 6.14437856e-06 3.7592694e-06 -5.216697e-07 3.8879224e-06 4.059304 3.222311 5.412092 8.96687416e-07 2.476944712e-06 1.46800654e-06 2.07738464e-06 1.243276495e-06
2.73575 3.7517016e-06 4.1124685e-06 4.4360221e-06 5.10450485 35.52802 114.9619 14.617459 13.244974 1.132488 -0.133272 -4.470128 0.643659 3.2635351 0.999994 0.7513924 0.7762123 0.7011919 11.92742 12.276232 12.28876 10.79308 11.298604 11.14676 12.05032 0.0929178 0.537306 0.0736068 0.05240082 0.0568611 0.00570354 6.14310752e-06 3.7606488e-06 -4.91747038e-07 3.8888748e-06 4.188544 3.762605 4.08878 7.89414796e-07 2.173385436e-06 1.902749574e-06 2.059298258e-06 7.98860396e-07
2.74667 3.42016524e-06 4.1448346e-06 4.4285455e-06 5.08838675 38.9542 112.5289 14.426812 13.13156 -0.908632 0.368504 -1.513672 0.5959015 3.7731772 0.9978708 0.6547284 0.6372262 0.6005485 10.622828 9.3027188 10.14784 10.324364 10.885108 11.270932 12.035192 0.14538 0.5225454 0.2360256 0.182034 0.0550128 0.0611253 6.14293088e-06 3.7599804e-06 -4.63129634e-07 3.8900792e-06 3.8436 3.544571 4.460224 8.8497514e-07 2.152529608e-06 2.573295438e-06 2.223270457e-06 1.096750806e-06
2.70311 3.796e-06 4.1251799e-06 4.4433691e-06 5.00000636156 39.6271 111.08408 14.207275 13.255964 -3.9199992 -0.217264 -6.463744 0.54832535 4.6064206 0.9964796 0.504 0.6330754 0.5410063 10.886776 10.24108 9.48818 9.0001425872 9.04 9.000947876 9.04 0.0601458 0.4314024 0.4451796 0.2616882 0.0385602 0.0428448 6.14295296e-06 3.7610358e-06 -4.86347058e-07 3.8878216e-06 4.454472 3.426341 5.312092 9.9001e-07 2.436422818e-06 2.368496406e-06 2.309743159e-06 9.6250766e-07
2.73405 3.5829032e-06 4.0807277e-06 4.4349997e-06 5.1628316 33.47334 117.85226 14.541958 13.208672 0.737592 0.027384 -4.116704 0.53644515 4.1153905 0.9999884 0.6065016 0.5212495 0.4632274 10.861628 12.11628 10.643732 10.142628 9.553108 9.736172 9.3293832 0.2067462 0.4371738 0.1566126 0.1740144 0.0941223 0.1045803 6.14452256e-06 3.7591908e-06 -4.9369621e-07 3.887926e-06 3.774356 4.097966 3.040248 7.69086145e-07 2.433558391e-06 2.939322218e-06 1.977209679e-06 1.429854172e-06
2.82784 3.4844936e-06 4.1435944e-06 4.4470894e-06 5.00045306 44.54076 107.24022 14.204611 13.22578 -2.210768 -0.912128 -6.459912 0.585219 4.2468922 0.9992912 0.6066212 0.5216833 0.5216833 11.940792 10.595236 12.274732 9.2868584 12.16102 11.564264 9.604828 0.3140766 0.4541964 0.2805774 0.2446494 0.1432086 0.0950127 6.14385824e-06 3.7615284e-06 -5.26094928e-07 3.8962604e-06 4.602248 3.279107 5.441004 8.60927212e-07 2.783803328e-06 1.851639798e-06 2.357123681e-06 1.246360878e-06
3.12474 3.540424e-06 4.1020308e-06 4.4450113e-06 5.0001544751 38.4341 114.49076 14.158117 12.790464 -2.785856 0.516008 -6.172728 0.694616 3.584503 0.996 0.5589076 0.341272 0.3402352 12.05648 11.527428 12.519068 9.71448 10.018236 11.211532 10.692748 0.3378162 0.4658496 0.1533684 0.0949344 0.0781083 0.086787 6.14161184e-06 3.7580364e-06 -4.24980178e-07 3.8845472e-06 4.832296 3.522251 3.392176 8.9063947e-07 2.046620794e-06 1.239872176e-06 2.445256051e-06 1.136662822e-06
2.67784 3.6826284e-06 4.1072139e-06 4.4273893e-06 5.486405 37.44932 114.28326 13.974814 13.018608 1.079488 -0.18476 -5.43464 0.6703665 3.5123122 0.9999928 0.8608296 0.5482837 0.4888891 12.5129 10.610456 10.45386 10.044052 11.81564 10.570604 10.072564 0.1542624 0.518856 0.2274498 0.1687614 0.1522986 0.0402288 6.14316032e-06 3.7618392e-06 -5.31151952e-07 3.8846264e-06 3.839304 3.408536 4.23384 9.61331707e-07 2.280089091e-06 2.235078095e-06 2.321210865e-06 1.268691411e-06
2.77735 3.7464948e-06 4.1365536e-06 4.4351041e-06 5.07933455 34.54594 115.8188 14.409541 13.048974 2.166368 0.067456 -1.707632 0.639927 3.9027286 0.9928564 0.6382356 0.5794354 0.5793076 11.5581 10.130108 9.987252 9.3197512 12.695008 12.026208 10.102084 0.2567802 0.4549794 0.1799994 0.1378716 0.0377946 0.041994 6.14248448e-06 3.7619442e-06 -4.66898e-07 3.8867432e-06 4.65656 2.911121 4.98904 8.3888128e-07 2.363312443e-06 2.602804535e-06 2.666131867e-06 1.375720001e-06
2.75906 3.4412888e-06 4.1261731e-06 4.4232874e-06 5.85293 35.63486 115.01718 14.718268 13.138434 -0.776072 -0.161864 -4.506384 0.7022435 2.8709407 0.9999652 0.7473784 0.7353685 0.7242238 11.516312 11.067184 11.173856 9.405632 11.867988 10.093452 12.154644 0.04407504 0.5066526 0.2359926 0.1619256 0.0365109 0.01098885 6.14377184e-06 3.7605354e-06 -4.84407514e-07 3.8883896e-06 2.984464 4.010111 4.265436 4.40447113e-07 1.839637199e-06 1.216096932e-06 2.074740169e-06 4.154805873e-07
2.71722 3.41560044e-06 4.117597e-06 4.4382511e-06 5.0000034396 40.20056 111.89856 14.576788 12.949028 -1.0458 0.249072 -5.78944 0.7337415 3.2174407 0.9995996 0.6414264 0.7377661 0.4092229 10.725208 9.0939576 9.126632 11.649888 11.266512 10.154064 9.0639488 0.177615 0.3069726 0.4542576 0.0982794 0.0316125 0.0351249 6.14544704e-06 3.7579572e-06 -5.3806137e-07 3.8829228e-06 4.234884 3.617744 5.724576 6.96288016e-07 2.18036404e-06 2.695490994e-06 2.29559099e-06 6.95196133e-07
2.70026 3.6127396e-06 4.1609e-06 4.4444983e-06 5.3501288 42.24838 108.58786 14.384386 12.87466 -0.138976 0.374344 -7.4207528 0.7758915 2.9250541 0.9999996 0.50603092 0.447769 0.41761 10.575092 11.15182 12.107824 12.409504 9.506384 10.654092 11.466308 0.2832858 0.3559254 0.3954438 0.298404 0.0723795 0.0804216 6.14372288e-06 3.7600122e-06 -5.08665426e-07 3.883448e-06 4.643392 3.341309 4.830488 4.96086418e-07 2.048430432e-06 2.103509414e-06 1.92816449e-06 9.61992763e-07
2.71193 3.6524464e-06 4.1468119e-06 4.4311825e-06 5.00022222035 40.07832 110.95476 14.501071 13.158706 1.261024 0.179104 -7.1498 0.7000765 3.0460123 0.9994088 0.7520988 0.6856021 0.4348549 11.238628 11.485004 11.139172 11.362428 10.4482 10.393468 9.1965128 0.1955802 0.4095864 0.3827196 0.068769 0.0606249 0.0673581 6.14447552e-06 3.7609542e-06 -5.501822916e-07 3.8860628e-06 4.490568 3.486737 3.39924 8.17240942e-07 2.311662775e-06 1.934993124e-06 2.947105661e-06 1.385548035e-06
2.78145 3.6254948e-06 4.1368734e-06 4.4402458e-06 5.13093875 41.44194 109.1691 14.639878 13.027274 -0.289752 0.292256 -4.363224 0.5971165 4.1077378 0.9999832 0.6644016 0.5987206 0.5501494 10.912884 9.80552 10.285272 10.362716 11.52674 9.3664536 10.6369 0.2042598 0.3554466 0.4121532 0.2843262 0.0980481 0.0670836 6.14297504e-06 3.7600044e-06 -5.16385588e-07 3.8904504e-06 3.9561 3.256271 4.663656 6.97565737e-07 2.046635791e-06 2.616016892e-06 2.334968113e-06 7.42616647e-07
