p2sigma m2sigma msigma psigma zaxis mean
53.00972514 35.535363245 44.040729298 49.152494564 61.5 47.2026435
52.309377867 35.192128913 43.450478551 48.617114548 62.0 46.6433585
51.565197253 34.820007735 42.832832673 47.96396224 62.5 46.0321495
50.828831134 34.427967898 42.256972369 47.16819104 63.0 45.3488625
49.957432601 34.385091318 41.688693729 46.444784498 63.5 44.575756
48.984421075 33.940736559 41.039013483 45.577940507 64.0 43.7714085
48.057862947 33.31640487 40.228738231 44.69303606 64.5 42.8861625
47.033236435 32.75264806 39.368882683 43.714441138 65.0 41.9261915
46.040886532 32.103048736 38.551679826 42.612806767 65.5 41.0058285
45.132681663 31.547673713 37.682181994 41.677812144 66.0 40.006763
44.199031291 30.954023613 36.801385382 40.576844543 66.5 39.004558
43.244177201 30.31639033 35.884863779 39.559039101 67.0 37.9753345
42.164759578 29.528356548 34.933460887 38.499694155 67.5 36.98555
41.175210581 28.591503183 33.9533029 37.452657747 68.0 35.955176
40.233200327 27.777070806 33.017708538 36.43539363 68.5 34.927686
39.275552068 27.038160269 32.071405266 35.420269124 69.0 33.9302465
38.339982785 26.22497984 31.129786601 34.401442559 69.5 32.9788785
37.300325726 25.405727288 30.21257955 33.431300242 70.0 32.0483185
36.439050318 24.786752483 29.303615902 32.512129693 70.5 31.1293645
35.573168687 24.288180057 28.465432779 31.624672316 71.0 30.250554
34.654621827 23.743519567 27.723987721 30.779495158 71.5 29.420726
33.774180565 23.025224127 26.982815027 30.015589762 72.0 28.639063
32.935651643 22.344833388 26.291810936 29.26646872 72.5 27.9069975
32.14526882 21.759644313 25.664307447 28.598317062 73.0 27.2109285
31.466635941 21.332039765 25.076988244 27.974400616 73.5 26.5731175
30.756692189 20.802684111 24.49376164 27.451158049 74.0 25.954626
30.229449076 20.438957588 23.984300271 26.944630799 74.5 25.403116
29.602819995 20.18470812 23.516331592 26.485645389 75.0 24.888551
28.887782725 19.621662737 23.076821035 26.041756752 75.5 24.430413
28.444239811 19.119572868 22.677435815 25.610593042 76.0 24.012859
28.086878633 18.747520871 22.306338232 25.225476002 76.5 23.634754
27.485634292 18.192221853 22.011112762 24.883489254 77.0 23.294958
27.105030789 17.865335388 21.650644362 24.503171313 77.5 22.992337
26.716651743 17.642901451 21.457943294 24.200038452 78.0 22.725753
26.40657508 17.358421907 21.169292294 23.920659345 78.5 22.494069
26.175721367 17.080352354 20.988580254 23.678819784 79.0 22.2821185
25.979460116 16.839826733 20.820802772 23.495039042 79.5 22.0999365
25.822584375 16.650181553 20.672032893 23.276403382 80.0 21.9403975
25.674369587 16.406543641 20.500189655 23.091935128 80.5 21.8120985
25.584147847 16.34062211 20.37058518 22.98169437 81.0 21.734723
25.518206228 16.315152482 20.282810825 22.927288778 81.5 21.663348
25.465024037 16.286955074 20.210240728 22.888292561 82.0 21.6095055
25.427495603 16.23228954 20.146004672 22.848377013 82.5 21.551635
25.459337889 16.190451269 20.121473467 22.843942432 83.0 21.530792
25.606040194 16.150984351 20.12869234 22.892535939 83.5 21.5258165
25.74045071 16.176661795 20.111301567 22.948189408 84.0 21.587035
25.86336023 16.147512532 20.211514616 23.029669872 84.5 21.6548575
