# z rho mu
59.5 1.17088e-05 1.34404e-07
60 1.17088e-05 1.34404e-07
60 1.16993e-05 1.35107e-07
60.5 1.16993e-05 1.35107e-07
60.5 1.16888e-05 1.35879e-07
61 1.16888e-05 1.35879e-07
61 1.16761e-05 1.36819e-07
61.5 1.16761e-05 1.36819e-07
61.5 1.1661e-05 1.37933e-07
62 1.1661e-05 1.37933e-07
62 1.16437e-05 1.39209e-07
62.5 1.16437e-05 1.39209e-07
62.5 1.16244e-05 1.40634e-07
63 1.16244e-05 1.40634e-07
63 1.16033e-05 1.42197e-07
63.5 1.16033e-05 1.42197e-07
63.5 1.15804e-05 1.43884e-07
64 1.15804e-05 1.43884e-07
64 1.15561e-05 1.45683e-07
64.5 1.15561e-05 1.45683e-07
64.5 1.15304e-05 1.47582e-07
65 1.15304e-05 1.47582e-07
65 1.15034e-05 1.49569e-07
65.5 1.15034e-05 1.49569e-07
65.5 1.14755e-05 1.51631e-07
66 1.14755e-05 1.51631e-07
66 1.14468e-05 1.53757e-07
66.5 1.14468e-05 1.53757e-07
66.5 1.14173e-05 1.55932e-07
67 1.14173e-05 1.55932e-07
67 1.13873e-05 1.58146e-07
67.5 1.13873e-05 1.58146e-07
67.5 1.1357e-05 1.60386e-07
68 1.1357e-05 1.60386e-07
68 1.13265e-05 1.6264e-07
68.5 1.13265e-05 1.6264e-07
68.5 1.12959e-05 1.64894e-07
69 1.12959e-05 1.64894e-07
69 1.12656e-05 1.67138e-07
69.5 1.12656e-05 1.67138e-07
69.5 1.12355e-05 1.69358e-07
70 1.12355e-05 1.69358e-07
70 1.12059e-05 1.71542e-07
70.5 1.12059e-05 1.71542e-07
70.5 1.1177e-05 1.73678e-07
71 1.1177e-05 1.73678e-07
71 1.11489e-05 1.75753e-07
71.5 1.11489e-05 1.75753e-07
71.5 1.11218e-05 1.77755e-07
72 1.11218e-05 1.77755e-07
72 1.10959e-05 1.79672e-07
72.5 1.10959e-05 1.79672e-07
72.5 1.10712e-05 1.81492e-07
73 1.10712e-05 1.81492e-07
73 1.10481e-05 1.83201e-07
73.5 1.10481e-05 1.83201e-07
73.5 1.10266e-05 1.84788e-07
74 1.10266e-05 1.84788e-07
74 1.10069e-05 1.86241e-07
74.5 1.10069e-05 1.86241e-07
74.5 1.09892e-05 1.87546e-07
75 1.09892e-05 1.87546e-07
75 1.09737e-05 1.88692e-07
75.5 1.09737e-05 1.88692e-07
75.5 1.096e-05 1.89707e-07
76 1.096e-05 1.89707e-07
76 1.09475e-05 1.9063e-07
76.5 1.09475e-05 1.9063e-07
76.5 1.09362e-05 1.91463e-07
77 1.09362e-05 1.91463e-07
77 1.09261e-05 1.92208e-07
77.5 1.09261e-05 1.92208e-07
77.5 1.09172e-05 1.9287e-07
78 1.09172e-05 1.9287e-07
78 1.09093e-05 1.93449e-07
78.5 1.09093e-05 1.93449e-07
78.5 1.09025e-05 1.9395e-07
79 1.09025e-05 1.9395e-07
79 1.08968e-05 1.94375e-07
79.5 1.08968e-05 1.94375e-07
79.5 1.0892e-05 1.94726e-07
80 1.0892e-05 1.94726e-07
80 1.08882e-05 1.95007e-07
80.5 1.08882e-05 1.95007e-07
80.5 1.08853e-05 1.95219e-07
81 1.08853e-05 1.95219e-07
81 1.08834e-05 1.95367e-07
81.5 1.08834e-05 1.95367e-07
81.5 1.08822e-05 1.95452e-07
82 1.08822e-05 1.95452e-07
82 1.08819e-05 1.95477e-07
82.5 1.08819e-05 1.95477e-07
82.5 1.08823e-05 1.95445e-07
83 1.08823e-05 1.95445e-07
83 1.08835e-05 1.95359e-07
83.5 1.08835e-05 1.95359e-07
83.5 1.08853e-05 1.95221e-07
84 1.08853e-05 1.95221e-07
84 1.08879e-05 1.95034e-07
84.5 1.08879e-05 1.95034e-07
84.5 1.0891e-05 1.94801e-07
85 1.0891e-05 1.94801e-07
85 1.08947e-05 1.94525e-07
85.5 1.08947e-05 1.94525e-07
85.5 1.0899e-05 1.94208e-07
86 1.0899e-05 1.94208e-07
86 1.09038e-05 1.93854e-07
86.5 1.09038e-05 1.93854e-07
86.5 1.09091e-05 1.93464e-07
87 1.09091e-05 1.93464e-07
87 1.09148e-05 1.93042e-07
87.5 1.09148e-05 1.93042e-07
87.5 1.0921e-05 1.92585e-07
88 1.0921e-05 1.92585e-07
88 1.0928e-05 1.92072e-07
88.5 1.0928e-05 1.92072e-07
88.5 1.09357e-05 1.915e-07
89 1.09357e-05 1.915e-07
89 1.09442e-05 1.90874e-07
89.5 1.09442e-05 1.90874e-07
89.5 1.09534e-05 1.90194e-07
90 1.09534e-05 1.90194e-07
90 1.09633e-05 1.89465e-07
90.5 1.09633e-05 1.89465e-07
90.5 1.09738e-05 1.88688e-07
91 1.09738e-05 1.88688e-07
91 1.09849e-05 1.87867e-07
91.5 1.09849e-05 1.87867e-07
91.5 1.09966e-05 1.87003e-07
92 1.09966e-05 1.87003e-07
92 1.10088e-05 1.861e-07
92.5 1.10088e-05 1.861e-07
92.5 1.10216e-05 1.8516e-07
93 1.10216e-05 1.8516e-07
93 1.10347e-05 1.84185e-07
93.5 1.10347e-05 1.84185e-07
93.5 1.10484e-05 1.8318e-07
94 1.10484e-05 1.8318e-07
94 1.10624e-05 1.82145e-07
94.5 1.10624e-05 1.82145e-07
94.5 1.10767e-05 1.81084e-07
95 1.10767e-05 1.81084e-07
95 1.10914e-05 1.79999e-07
95.5 1.10914e-05 1.79999e-07
95.5 1.11064e-05 1.78894e-07
96 1.11064e-05 1.78894e-07
96 1.11216e-05 1.7777e-07
96.5 1.11216e-05 1.7777e-07
96.5 1.1137e-05 1.7663e-07
97 1.1137e-05 1.7663e-07
97 1.11526e-05 1.75478e-07
97.5 1.11526e-05 1.75478e-07
97.5 1.11684e-05 1.74315e-07
98 1.11684e-05 1.74315e-07
98 1.11842e-05 1.73144e-07
98.5 1.11842e-05 1.73144e-07
98.5 1.12002e-05 1.71968e-07
99 1.12002e-05 1.71968e-07
99 1.12161e-05 1.7079e-07
99.5 1.12161e-05 1.7079e-07
99.5 1.12321e-05 1.69612e-07
100 1.12321e-05 1.69612e-07
100 1.1248e-05 1.68436e-07
100.5 1.1248e-05 1.68436e-07
100.5 1.12638e-05 1.67266e-07
101 1.12638e-05 1.67266e-07
101 1.12796e-05 1.66105e-07
101.5 1.12796e-05 1.66105e-07
101.5 1.12951e-05 1.64953e-07
102 1.12951e-05 1.64953e-07
102 1.13113e-05 1.63762e-07
102.5 1.13113e-05 1.63762e-07
102.5 1.13298e-05 1.62391e-07
103 1.13298e-05 1.62391e-07
103 1.13505e-05 1.60862e-07
103.5 1.13505e-05 1.60862e-07
103.5 1.1373e-05 1.59203e-07
104 1.1373e-05 1.59203e-07
104 1.13968e-05 1.57445e-07
104.5 1.13968e-05 1.57445e-07
104.5 1.14216e-05 1.55617e-07
105 1.14216e-05 1.55617e-07
105 1.14469e-05 1.53748e-07
105.5 1.14469e-05 1.53748e-07
105.5 1.14723e-05 1.51868e-07
106 1.14723e-05 1.51868e-07
106 1.14975e-05 1.50007e-07
106.5 1.14975e-05 1.50007e-07
106.5 1.15221e-05 1.48195e-07
107 1.15221e-05 1.48195e-07
107 1.15456e-05 1.4646e-07
107.5 1.15456e-05 1.4646e-07
107.5 1.15676e-05 1.44832e-07
108 1.15676e-05 1.44832e-07
108 1.15878e-05 1.43342e-07
108.5 1.15878e-05 1.43342e-07
108.5 1.16057e-05 1.42018e-07
109 1.16057e-05 1.42018e-07
109 1.1621e-05 1.40891e-07
109.5 1.1621e-05 1.40891e-07
109.5 1.16332e-05 1.39989e-07
110 1.16332e-05 1.39989e-07
110 1.16419e-05 1.39343e-07
110.5 1.16419e-05 1.39343e-07
110.5 1.16468e-05 1.38981e-07
111 1.16468e-05 1.38981e-07
111 1.16476e-05 1.38925e-07
111.5 1.16476e-05 1.38925e-07
111.5 1.16465e-05 1.39004e-07
112 1.16465e-05 1.39004e-07
112 1.16446e-05 1.39141e-07
112.5 1.16446e-05 1.39141e-07
112.5 1.1642e-05 1.39336e-07
113 1.1642e-05 1.39336e-07
113 1.16386e-05 1.39587e-07
113.5 1.16386e-05 1.39587e-07
113.5 1.16345e-05 1.39891e-07
114 1.16345e-05 1.39891e-07
114 1.16297e-05 1.40246e-07
114.5 1.16297e-05 1.40246e-07
114.5 1.16242e-05 1.40651e-07
115 1.16242e-05 1.40651e-07
115 1.16181e-05 1.41104e-07
115.5 1.16181e-05 1.41104e-07
115.5 1.16113e-05 1.41603e-07
116 1.16113e-05 1.41603e-07
116 1.1604e-05 1.42146e-07
116.5 1.1604e-05 1.42146e-07
116.5 1.1596e-05 1.42731e-07
117 1.1596e-05 1.42731e-07
117 1.15876e-05 1.43356e-07
117.5 1.15876e-05 1.43356e-07
117.5 1.15786e-05 1.44019e-07
118 1.15786e-05 1.44019e-07
118 1.15691e-05 1.44718e-07
118.5 1.15691e-05 1.44718e-07
118.5 1.15592e-05 1.45452e-07
119 1.15592e-05 1.45452e-07
119 1.15488e-05 1.46219e-07
119.5 1.15488e-05 1.46219e-07
119.5 1.1538e-05 1.47016e-07
120 1.1538e-05 1.47016e-07
120 1.15268e-05 1.47842e-07
120.5 1.15268e-05 1.47842e-07
120.5 1.15153e-05 1.48695e-07
121 1.15153e-05 1.48695e-07
121 1.15034e-05 1.49573e-07
121.5 1.15034e-05 1.49573e-07
121.5 1.14912e-05 1.50474e-07
122 1.14912e-05 1.50474e-07
122 1.14787e-05 1.51396e-07
122.5 1.14787e-05 1.51396e-07
122.5 1.1466e-05 1.52338e-07
123 1.1466e-05 1.52338e-07
123 1.1453e-05 1.53296e-07
123.5 1.1453e-05 1.53296e-07
123.5 1.14398e-05 1.5427e-07
124 1.14398e-05 1.5427e-07
124 1.14264e-05 1.55258e-07
124.5 1.14264e-05 1.55258e-07
124.5 1.14129e-05 1.56258e-07
125 1.14129e-05 1.56258e-07
125 1.13992e-05 1.57267e-07
125.5 1.13992e-05 1.57267e-07
125.5 1.13855e-05 1.58284e-07
126 1.13855e-05 1.58284e-07
126 1.13716e-05 1.59307e-07
126.5 1.13716e-05 1.59307e-07
126.5 1.13577e-05 1.60334e-07
127 1.13577e-05 1.60334e-07
127 1.13438e-05 1.61363e-07
127.5 1.13438e-05 1.61363e-07
127.5 1.13298e-05 1.62392e-07
128 1.13298e-05 1.62392e-07
128 1.13159e-05 1.6342e-07
128.5 1.13159e-05 1.6342e-07
128.5 1.1302e-05 1.64444e-07
129 1.1302e-05 1.64444e-07
129 1.12882e-05 1.65463e-07
129.5 1.12882e-05 1.65463e-07
129.5 1.12745e-05 1.66475e-07
130 1.12745e-05 1.66475e-07
130 1.12576e-05 1.67724e-07
130.5 1.12576e-05 1.67724e-07
130.5 1.12354e-05 1.69363e-07
131 1.12354e-05 1.69363e-07
131 1.12091e-05 1.71312e-07
131.5 1.12091e-05 1.71312e-07
131.5 1.11796e-05 1.73487e-07
132 1.11796e-05 1.73487e-07
132 1.11482e-05 1.75807e-07
132.5 1.11482e-05 1.75807e-07
132.5 1.11159e-05 1.78191e-07
133 1.11159e-05 1.78191e-07
133 1.10839e-05 1.80556e-07
133.5 1.10839e-05 1.80556e-07
133.5 1.10532e-05 1.82821e-07
134 1.10532e-05 1.82821e-07
134 1.1025e-05 1.84904e-07
134.5 1.1025e-05 1.84904e-07
134.5 1.10004e-05 1.86723e-07
135 1.10004e-05 1.86723e-07
135 1.09804e-05 1.88196e-07
135.5 1.09804e-05 1.88196e-07
135.5 1.09663e-05 1.89243e-07
136 1.09663e-05 1.89243e-07
136 1.0959e-05 1.89779e-07
136.5 1.0959e-05 1.89779e-07
136.5 1.09577e-05 1.89874e-07
137 1.09577e-05 1.89874e-07
137 1.09576e-05 1.89883e-07
137.5 1.09576e-05 1.89883e-07
137.5 1.09583e-05 1.8983e-07
138 1.09583e-05 1.8983e-07
138 1.09598e-05 1.89719e-07
138.5 1.09598e-05 1.89719e-07
138.5 1.09621e-05 1.89552e-07
139 1.09621e-05 1.89552e-07
139 1.09651e-05 1.89332e-07
139.5 1.09651e-05 1.89332e-07
139.5 1.09687e-05 1.89062e-07
140 1.09687e-05 1.89062e-07
140 1.0973e-05 1.88746e-07
140.5 1.0973e-05 1.88746e-07
140.5 1.09779e-05 1.88386e-07
141 1.09779e-05 1.88386e-07
141 1.09833e-05 1.87986e-07
141.5 1.09833e-05 1.87986e-07
141.5 1.09892e-05 1.87547e-07
142 1.09892e-05 1.87547e-07
142 1.09956e-05 1.87074e-07
142.5 1.09956e-05 1.87074e-07
142.5 1.10025e-05 1.86569e-07
143 1.10025e-05 1.86569e-07
143 1.10097e-05 1.86036e-07
143.5 1.10097e-05 1.86036e-07
143.5 1.10173e-05 1.85476e-07
144 1.10173e-05 1.85476e-07
144 1.10252e-05 1.84894e-07
144.5 1.10252e-05 1.84894e-07
144.5 1.10333e-05 1.84292e-07
145 1.10333e-05 1.84292e-07
145 1.10417e-05 1.83673e-07
145.5 1.10417e-05 1.83673e-07
145.5 1.10502e-05 1.8304e-07
146 1.10502e-05 1.8304e-07
146 1.1059e-05 1.82397e-07
146.5 1.1059e-05 1.82397e-07
146.5 1.10678e-05 1.81745e-07
147 1.10678e-05 1.81745e-07
147 1.10767e-05 1.81089e-07
147.5 1.10767e-05 1.81089e-07
147.5 1.10856e-05 1.80431e-07
148 1.10856e-05 1.80431e-07
148 1.10945e-05 1.79774e-07
148.5 1.10945e-05 1.79774e-07
148.5 1.11033e-05 1.79121e-07
149 1.11033e-05 1.79121e-07
149 1.11121e-05 1.78475e-07
149.5 1.11121e-05 1.78475e-07
149.5 1.11207e-05 1.77839e-07
150 1.11207e-05 1.77839e-07
150 1.11291e-05 1.77216e-07
150.5 1.11291e-05 1.77216e-07
150.5 1.11373e-05 1.7661e-07
151 1.11373e-05 1.7661e-07
151 1.11453e-05 1.76022e-07
151.5 1.11453e-05 1.76022e-07
151.5 1.11529e-05 1.75456e-07
152 1.11529e-05 1.75456e-07
152 1.11603e-05 1.74916e-07
152.5 1.11603e-05 1.74916e-07
152.5 1.11672e-05 1.74403e-07
153 1.11672e-05 1.74403e-07
153 1.11737e-05 1.73922e-07
153.5 1.11737e-05 1.73922e-07
153.5 1.11798e-05 1.73474e-07
154 1.11798e-05 1.73474e-07
154 1.11853e-05 1.73063e-07
154.5 1.11853e-05 1.73063e-07
154.5 1.11904e-05 1.72693e-07
155 1.11904e-05 1.72693e-07
155 1.11948e-05 1.72365e-07
155.5 1.11948e-05 1.72365e-07
155.5 1.11986e-05 1.72083e-07
156 1.11986e-05 1.72083e-07
156 1.12018e-05 1.71851e-07
156.5 1.12018e-05 1.71851e-07
156.5 1.12042e-05 1.7167e-07
157 1.12042e-05 1.7167e-07
157 1.12059e-05 1.71544e-07
157.5 1.12059e-05 1.71544e-07
157.5 1.12068e-05 1.71476e-07
158 1.12068e-05 1.71476e-07
158 1.12069e-05 1.71469e-07
158.5 1.12069e-05 1.71469e-07
158.5 1.12048e-05 1.71622e-07
159 1.12048e-05 1.71622e-07
159 1.11997e-05 1.72006e-07
159.5 1.11997e-05 1.72006e-07
159.5 1.11916e-05 1.72597e-07
160 1.11916e-05 1.72597e-07
160 1.11811e-05 1.73374e-07
160.5 1.11811e-05 1.73374e-07
160.5 1.11684e-05 1.74313e-07
161 1.11684e-05 1.74313e-07
161 1.11538e-05 1.75393e-07
