# Q Iq dIq dQ fit
2.556999999999999898e-02 5.732999999999999652e+00 1.101000000000000034e-01 1.593999999999999931e-03 5.624198959604698622e+00
2.593000000000000166e-02 5.783000000000000362e+00 4.472000000000000280e-02 2.423999999999999939e-03 5.546145797254016685e+00
2.725999999999999951e-02 5.230000000000000426e+00 4.089000000000000273e-02 2.455999999999999850e-03 5.064089026137715166e+00
2.859000000000000083e-02 4.753999999999999559e+00 3.701999999999999735e-02 2.488999999999999893e-03 4.648211693472561024e+00
2.990999999999999909e-02 4.445999999999999730e+00 3.520000000000000212e-02 2.523000000000000069e-03 4.289723778573057089e+00
3.124000000000000041e-02 4.030999999999999694e+00 3.164999999999999758e-02 2.557999999999999944e-03 3.974592568986872188e+00
3.257000000000000173e-02 3.720000000000000195e+00 3.047000000000000056e-02 2.593999999999999952e-03 3.691086480332839592e+00
3.389999999999999958e-02 3.528000000000000025e+00 3.180999999999999800e-02 2.631000000000000092e-03 3.446276986639556839e+00
3.522999999999999743e-02 3.220000000000000195e+00 2.783000000000000057e-02 2.668999999999999932e-03 3.239516656278286888e+00
3.656000000000000222e-02 3.076000000000000068e+00 2.826000000000000040e-02 2.707999999999999904e-03 3.045313911724044864e+00
3.787999999999999701e-02 2.862000000000000099e+00 2.333000000000000004e-02 2.746999999999999876e-03 2.872566988852964798e+00
3.921000000000000180e-02 2.741999999999999993e+00 2.403999999999999887e-02 2.788000000000000114e-03 2.716089155678528932e+00
4.053999999999999965e-02 2.613999999999999879e+00 2.425000000000000072e-02 2.830000000000000050e-03 2.574960323445806942e+00
4.186999999999999750e-02 2.484999999999999876e+00 2.273999999999999980e-02 2.871999999999999987e-03 2.447605908269366193e+00
4.320000000000000229e-02 2.346000000000000085e+00 2.142000000000000154e-02 2.915000000000000056e-03 2.331178940541972278e+00
4.451999999999999708e-02 2.241999999999999993e+00 1.992000000000000021e-02 2.958000000000000126e-03 2.226189042394755901e+00
4.585000000000000187e-02 2.158999999999999808e+00 2.077999999999999986e-02 3.001999999999999894e-03 2.129553541708787190e+00
4.717999999999999972e-02 2.100000000000000089e+00 2.032000000000000126e-02 3.046999999999999795e-03 2.040764690451036145e+00
4.850000000000000144e-02 1.997999999999999998e+00 1.910999999999999852e-02 3.092999999999999829e-03 1.960354128921038663e+00
4.982999999999999929e-02 1.897000000000000020e+00 1.683000000000000121e-02 3.138999999999999863e-03 1.884655387338223909e+00
5.049000000000000016e-02 1.834000000000000075e+00 1.544000000000000060e-02 6.380000000000000254e-03 1.897111424639888355e+00
5.115999999999999714e-02 1.824000000000000066e+00 1.765999999999999862e-02 3.184999999999999897e-03 1.819587815460959046e+00
5.247999999999999887e-02 1.772999999999999909e+00 1.717000000000000123e-02 3.233000000000000197e-03 1.756082638814068231e+00
5.380999999999999672e-02 1.709999999999999964e+00 1.685999999999999999e-02 3.279999999999999930e-03 1.696923345866632626e+00
5.514000000000000151e-02 1.653000000000000025e+00 1.711000000000000021e-02 3.327999999999999795e-03 1.642006554689373399e+00
5.580000000000000238e-02 1.616999999999999993e+00 1.293000000000000052e-02 6.472000000000000322e-03 1.644253498889379772e+00
5.646000000000000324e-02 1.614999999999999991e+00 1.566999999999999990e-02 3.376999999999999794e-03 1.591138101453061005e+00
5.779000000000000109e-02 1.552999999999999936e+00 1.566000000000000031e-02 3.425999999999999792e-03 1.543696922369489855e+00
5.911000000000000282e-02 1.542000000000000037e+00 1.536000000000000039e-02 3.474999999999999790e-03 1.500181968004483002e+00
6.044000000000000067e-02 1.447999999999999954e+00 1.490999999999999964e-02 3.524999999999999922e-03 1.458077067866763166e+00
6.110000000000000153e-02 1.425000000000000044e+00 1.106999999999999998e-02 6.572999999999999850e-03 1.458273207627829748e+00
6.176000000000000240e-02 1.423000000000000043e+00 1.493000000000000056e-02 3.575000000000000053e-03 1.419033371692557166e+00
6.308999999999999331e-02 1.417000000000000037e+00 1.544000000000000060e-02 3.625999999999999883e-03 1.382605183470893229e+00
6.440999999999999504e-02 1.356999999999999984e+00 1.372999999999999915e-02 3.677000000000000147e-03 1.349257951407119016e+00
