# z rho mu
93.5 5.49472e-07 0
94 5.49472e-07 0
94 5.45282e-07 0
94.5 5.45282e-07 0
94.5 5.42006e-07 0
95 5.42006e-07 0
95 5.39485e-07 0
95.5 5.39485e-07 0
95.5 5.37577e-07 0
96 5.37577e-07 0
96 5.36155e-07 0
96.5 5.36155e-07 0
96.5 5.35115e-07 0
97 5.35115e-07 0
97 5.34368e-07 0
97.5 5.34368e-07 0
97.5 5.33841e-07 0
98 5.33841e-07 0
98 5.33476e-07 0
98.5 5.33476e-07 0
98.5 5.3323e-07 0
99 5.3323e-07 0
99 5.33067e-07 0
99.5 5.33067e-07 0
99.5 5.32962e-07 0
100 5.32962e-07 0
100 5.3282e-07 0
110 5.3282e-07 0
