median_area p2sigma_nsld m2sigma_nsld p2sigma_area median_nsl m2sigma_nsl m2sigma_area psigma_area msigma_nsl msigma_nsld p2sigma_nsl zaxis psigma_nsld psigma_nsl median_nsld msigma_area 
0.0 4.73194973274e-06 0.0 3.314711976 0.0 0.0 0.0 0.329436888 0.0 0.0 3.42893236e-06 27.5 3.52828842887e-06 5.450107608e-07 0.0 0.0 
0.0 4.70236437208e-06 0.0 3.36542144 0.0 0.0 0.0 0.373775176 0.0 0.0 3.426492384e-06 28.0 3.53147206284e-06 6.041818008e-07 0.0 0.0 
0.00023 4.70898240658e-06 0.0 3.396846384 9.556106e-12 0.0 0.0 0.41441644 0.0 0.0 3.41373204e-06 28.5 3.56280067465e-06 6.386706856e-07 1.56954395295e-06 0.0 
0.001084 4.71165299759e-06 0.0 3.432805152 9.818563e-10 0.0 0.0 0.448960552 0.0 0.0 3.50258636e-06 29.0 3.56449026731e-06 7.04352632e-07 1.75879077753e-06 0.0 
0.003061 4.79197759197e-06 0.0 3.533599336 4.071545e-09 0.0 0.0 0.503129 0.0 0.0 3.869778992e-06 29.5 3.63802331432e-06 8.130191816e-07 1.93963897827e-06 0.0 
0.008138 4.80482099747e-06 0.0 3.835264056 1.187942e-08 0.0 0.0 0.698195872 0.0 0.0 4.817053416e-06 30.0 3.70937138005e-06 9.720136456e-07 2.06830153394e-06 0.0 
0.016861 4.8907695202e-06 0.0 4.649756264 2.678919e-08 0.0 0.0 0.837986312 0.0 0.0 5.549356e-06 30.5 3.76421831945e-06 1.179183264e-06 2.28891732218e-06 0.0 
0.029607 4.86422038714e-06 0.0 4.81249056 4.517884e-08 0.0 0.0 1.168536888 0.0 0.0 5.704669536e-06 31.0 3.85313718895e-06 1.55324956e-06 2.43001530086e-06 0.0 
0.042774 4.90429503795e-06 0.0 4.65584584 6.512244e-08 0.0 0.0 1.390747992 0.0 0.0 5.794488376e-06 31.5 3.92145244482e-06 1.735910928e-06 2.51307662609e-06 0.0 
0.063869 4.90322779976e-06 0.0 4.626788272 9.468412e-08 0.0 0.0 1.637150936 0.0 0.0 5.73009244e-06 32.0 3.95558826954e-06 1.981695872e-06 2.60046692998e-06 0.0 
0.093727 4.89220879143e-06 0.0 4.72162088 1.361472e-07 0.0 0.0 1.770480488 0.0 0.0 5.895265064e-06 32.5 3.96757484001e-06 2.216536192e-06 2.65533591499e-06 0.0 
0.123921 4.88992307761e-06 0.0 4.679495272 1.845493e-07 0.0 0.0 1.960696664 0.0 0.0 5.903792264e-06 33.0 3.99741872963e-06 2.368886432e-06 2.69830050562e-06 0.0 
0.154247 4.88641828976e-06 0.0 4.539538256 2.3498e-07 0.0 0.0 1.968269288 0.0 0.0 5.7848858e-06 33.5 4.01645346826e-06 2.461447928e-06 2.73279464552e-06 0.0 
0.180868 4.8771094343e-06 0.0 4.409467312 2.847506e-07 0.0 0.0 2.007459512 1.339901792e-10 1.53107888252e-06 5.933722096e-06 34.0 4.02265774864e-06 2.562952176e-06 2.76242070943e-06 0.00026892 
0.206555 4.85943684282e-06 0.0 4.163562272 3.360429e-07 0.0 0.0 2.093157576 4.746254664e-09 1.82624502931e-06 5.70893848e-06 34.5 4.04907437338e-06 2.57008276e-06 2.81529043212e-06 0.00400224 
