# z rho mu P theta
206.787 -2.93605e-07 0 0 270
206.787 -3.10317e-07 0 0 270
207.287 -3.10317e-07 0 0 270
207.287 -3.26925e-07 0 0 270
207.787 -3.26925e-07 0 0 270
207.787 -3.42955e-07 0 0 270
208.287 -3.42955e-07 0 0 270
208.287 -3.57918e-07 0 0 270
208.787 -3.57918e-07 0 0 270
208.787 -3.71328e-07 0 0 270
209.287 -3.71328e-07 0 0 270
209.287 -3.82734e-07 0 0 270
209.787 -3.82734e-07 0 0 270
209.787 -3.9175e-07 0 0 270
210.287 -3.9175e-07 0 0 270
210.287 -3.98073e-07 0 0 270
210.787 -3.98073e-07 0 0 270
210.787 -4.01508e-07 0 0 270
211.287 -4.01508e-07 0 0 270
211.287 -4.01979e-07 0 0 270
211.787 -4.01979e-07 0 0 270
211.787 -3.99531e-07 0 0 270
212.287 -3.99531e-07 0 0 270
212.287 -3.94329e-07 0 0 270
212.787 -3.94329e-07 0 0 270
212.787 -3.86644e-07 0 0 270
213.287 -3.86644e-07 0 0 270
213.287 -3.76836e-07 0 0 270
213.787 -3.76836e-07 0 0 270
213.787 -3.65326e-07 0 0 270
214.287 -3.65326e-07 0 0 270
214.287 -3.52573e-07 0 0 270
214.787 -3.52573e-07 0 0 270
214.787 -3.39046e-07 0 0 270
215.287 -3.39046e-07 0 0 270
215.287 -3.25191e-07 0 0 270
215.787 -3.25191e-07 0 0 270
215.787 -3.11407e-07 0 0 270
216.287 -3.11407e-07 0 0 270
216.287 -2.98017e-07 0 0 270
216.787 -2.98017e-07 0 0 270
216.787 -2.85233e-07 0 0 270
217.287 -2.85233e-07 0 0 270
217.287 -2.73114e-07 0 0 270
217.787 -2.73114e-07 0 0 270
217.787 -2.61498e-07 0 0 270
218.287 -2.61498e-07 0 0 270
218.287 -2.49917e-07 0 0 270
218.787 -2.49917e-07 0 0 270
218.787 -2.37487e-07 0 0 270
219.287 -2.37487e-07 0 0 270
219.287 -2.22795e-07 0 0 270
219.787 -2.22795e-07 0 0 270
219.787 -2.03811e-07 0 0 270
220.287 -2.03811e-07 0 0 270
220.287 -1.77907e-07 0 0 270
220.787 -1.77907e-07 0 0 270
220.787 -1.4201e-07 0 0 270
221.287 -1.4201e-07 0 0 270
221.287 -9.29816e-08 0 0 270
221.787 -9.29816e-08 0 0 270
221.787 -2.81765e-08 0 0 270
222.287 -2.81765e-08 0 0 270
222.287 5.38712e-08 0 0 270
222.787 5.38712e-08 0 0 270
222.787 1.52809e-07 0 0 270
223.287 1.52809e-07 0 0 270
223.287 2.66063e-07 0 0 270
223.787 2.66063e-07 0 0 270
223.787 3.88854e-07 0 0 270
224.287 3.88854e-07 0 0 270
224.287 5.14681e-07 0 0 270
224.787 5.14681e-07 0 0 270
224.787 6.36204e-07 0 0 270
225.287 6.36204e-07 0 0 270
225.287 7.46312e-07 0 0 270
225.787 7.46312e-07 0 0 270
225.787 8.39072e-07 0 0 270
226.287 8.39072e-07 0 0 270
226.287 9.10339e-07 0 0 270
226.787 9.10339e-07 0 0 270
226.787 9.57872e-07 0 0 270
227.287 9.57872e-07 0 0 270
227.287 9.81013e-07 0 0 270
227.787 9.81013e-07 0 0 270
227.787 9.80087e-07 0 0 270
228.287 9.80087e-07 0 0 270
228.287 9.5579e-07 0 0 270
228.787 9.5579e-07 0 0 270
228.787 9.08783e-07 0 0 270
229.287 9.08783e-07 0 0 270
229.287 8.39655e-07 0 0 270
229.787 8.39655e-07 0 0 270
229.787 7.49243e-07 0 0 270
230.287 7.49243e-07 0 0 270
230.287 6.39188e-07 0 0 270
230.787 6.39188e-07 0 0 270
230.787 5.12485e-07 0 0 270
231.287 5.12485e-07 0 0 270
231.287 3.73771e-07 0 0 270
231.787 3.73771e-07 0 0 270
231.787 2.29174e-07 0 0 270
232.287 2.29174e-07 0 0 270
232.287 8.5701e-08 0 0 270
232.787 8.5701e-08 0 0 270
232.787 -4.97008e-08 0 0 270
233.287 -4.97008e-08 0 0 270
233.287 -1.71149e-07 0 0 270
233.787 -1.71149e-07 0 0 270
233.787 -2.74615e-07 0 0 270
234.287 -2.74615e-07 0 0 270
234.287 -3.58299e-07 0 0 270
234.787 -3.58299e-07 0 0 270
234.787 -4.22534e-07 0 0 270
235.287 -4.22534e-07 0 0 270
235.287 -4.6932e-07 0 0 270
235.787 -4.6932e-07 0 0 270
235.787 -5.0165e-07 0 0 270
236.287 -5.0165e-07 0 0 270
236.287 -5.22845e-07 0 0 270
236.787 -5.22845e-07 0 0 270
236.787 -5.36027e-07 0 0 270
237.287 -5.36027e-07 0 0 270
237.287 -5.43806e-07 0 0 270
237.787 -5.43806e-07 0 0 270
237.787 -5.48161e-07 0 0 270
238.287 -5.48161e-07 0 0 270
238.287 -5.50475e-07 0 0 270
238.787 -5.50475e-07 0 0 270
238.787 -5.51642e-07 0 0 270
239.287 -5.51642e-07 0 0 270
239.287 -5.522e-07 0 0 270
239.787 -5.522e-07 0 0 270
239.787 -5.52454e-07 0 0 270
240.287 -5.52454e-07 0 0 270
240.287 -5.52636e-07 0 0 270
240.787 -5.52636e-07 0 0 270
240.787 -5.52636e-07 0 0 270
241.287 -5.52636e-07 0 0 270
241.287 -5.52636e-07 0 0 270
241.787 -5.52636e-07 0 0 270
241.787 -5.52636e-07 0 0 270
242.287 -5.52636e-07 0 0 270
242.287 -5.52636e-07 0 0 270
242.787 -5.52636e-07 0 0 270
242.787 -5.52636e-07 0 0 270
243.287 -5.52636e-07 0 0 270
243.287 -5.52636e-07 0 0 270
243.787 -5.52636e-07 0 0 270
243.787 -5.52636e-07 0 0 270
244.287 -5.52636e-07 0 0 270
244.287 -5.52636e-07 0 0 270
244.787 -5.52636e-07 0 0 270
244.787 -5.52636e-07 0 0 270
245.287 -5.52636e-07 0 0 270
245.287 -5.52636e-07 0 0 270
245.787 -5.52636e-07 0 0 270
245.787 -5.52636e-07 0 0 270
246.287 -5.52636e-07 0 0 270
246.287 -5.52636e-07 0 0 270
246.787 -5.52636e-07 0 0 270
246.787 -5.52636e-07 0 0 270
247.287 -5.52636e-07 0 0 270
