z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 headgroup2_3 normarea tetherg headgroup1_3 headgroup1_2 defect_hg methyl1 tether defect_hc methyl2 headgroup1 summol water waterperc
19.5 0.0 39.030132 6.419833 0.0 0.0 0.0 0.0 0.0 71.841685 5e-06 0.0 0.007233 2e-06 0.0 17.13269 0.0 0.0 0.015337 62.605232 9.236453 0.128566764546
20.0 0.0 35.920843 6.732882 0.0 0.0 0.0 0.0 0.0 71.841685 1.8e-05 0.0 0.014071 4e-06 0.0 18.756211 0.0 0.0 0.027887 61.451916 10.389769 0.144620341241
20.5 0.0 32.811553 6.982723 0.0 0.0 0.0 0.0 0.0 71.841685 6.2e-05 0.0 0.025885 6e-06 0.0 20.37971 0.0 0.0 0.048009 60.247948 11.593737 0.161378968213
21.0 0.0 29.73875 7.161367 0.0 2e-06 0.0 0.0 0.0 71.841685 0.000206 0.0 0.045062 1e-05 0.0 21.98409 0.0 0.0 0.07835 59.007837 12.833848 0.178640687506
21.5 0.0 26.73764 7.262979 0.0 7e-06 0.0 0.0 0.0 71.841685 0.000644 0.0 0.074317 1.6e-05 0.0 23.550836 0.0 0.0 0.121394 57.747833 14.093852 0.19617930732
22.0 0.0 23.840946 7.284196 0.0 2.7e-05 0.0 0.0 0.0 71.841685 0.001895 0.0 0.116255 2.3e-05 0.0 25.062508 0.0 0.0 0.178891 56.484741 15.356944 0.213760910535
22.5 0.0 21.077845 7.224313 0.0 9.4e-05 0.0 0.0 0.0 71.841685 0.005252 0.0 0.172753 3.2e-05 0.0 26.502989 0.0 0.0 0.251279 55.234557 16.607128 0.231162840905
23.0 0.0 18.473102 7.085319 0.0 0.000311 0.0 0.0 0.0 71.841685 0.013706 0.0 0.244276 4.2e-05 0.0 27.857288 0.0 0.0 0.337331 54.011375 17.83031 0.248188917061
23.5 0.0 16.046458 6.871789 0.0 0.000967 0.0 0.0 0.0 71.841685 0.033692 0.0 0.329362 5.4e-05 0.0 29.110635 0.0 0.0 0.434168 52.827125 19.01456 0.264673079425
24.0 0.0 13.812263 6.590634 0.0 0.002829 0.0 0.0 0.0 71.841685 0.078024 0.0 0.424471 6.6e-05 1e-06 30.24655 0.0 0.0 0.537717 51.692555 20.14913 0.280465721259
24.5 0.0 11.779392 6.250731 0.0 0.007802 0.0 0.0 0.0 71.841685 0.170249 0.0 0.524351 7.8e-05 2e-06 31.243623 0.0 0.0 0.643471 50.619699 21.221986 0.295399335358
25.0 0.0 9.951411 5.862455 0.001998 0.020274 0.0 0.0 0.0 71.841685 0.35009 0.0 0.622858 8.8e-05 4e-06 32.071082 0.0 0.0 0.747275 49.627535 22.21415 0.309209757538
25.5 0.0 8.326956 5.437163 0.012797 0.049676 0.0 0.0 0.0 71.841685 0.678556 0.0 0.714003 9.7e-05 8e-06 32.683832 0.0 1e-06 0.84582 48.748909 23.092776 0.321439788056
26.0 0.0 6.900308 4.986637 0.032694 0.114805 0.0 0.0 0.0 71.841685 1.239875 0.0 0.792917 0.000105 1.5e-05 33.0186 1e-06 2e-06 0.936649 48.022608 23.819077 0.331549531445
26.5 1e-06 5.662083 4.522558 0.061391 0.25038 0.0 0.0 0.0 71.841685 2.136149 0.0 0.856422 0.00011 2.9e-05 32.993733 2e-06 4e-06 1.017704 47.500566 24.341119 0.338816092635
27.0 1e-06 4.600006 4.056018 0.098589 0.515583 0.0 0.0 0.0 71.841685 3.470726 0.0 0.903063 0.000114 5.4e-05 32.51548 4e-06 7e-06 1.086659 47.246304 24.595381 0.34235529136
27.5 2e-06 3.699709 3.597103 0.143988 1.003092 0.0 0.0 0.0 71.841685 5.318805 0.0 0.932664 0.000117 9.9e-05 31.492551 8e-06 1.3e-05 1.140406 47.328557 24.513128 0.34121037111
28.0 5e-06 2.945504 3.154577 0.19729 1.845235 0.0 0.0 0.0 71.841685 7.689154 0.0 0.945628 0.000119 0.000179 29.858154 1.6e-05 2.5e-05 1.174996 47.810882 24.030803 0.334496650517
28.5 1e-05 2.321099 2.735661 0.258194 3.212306 0.0 0.0 0.0 71.841685 10.487548 0.0 0.942283 0.00012 0.000318 27.594999 2.7e-05 4.7e-05 1.186129 48.738741 23.102944 0.321581321485
29.0 1.9e-05 1.810221 2.345923 0.326403 5.297744 0.0 0.0 0.0 71.841685 13.497502 0.0 0.922535 0.00012 0.000557 24.755618 4.5e-05 8.7e-05 1.170096 50.12687 21.714815 0.30225926633
29.5 3.5e-05 1.397134 1.989268 0.401617 8.287281 0.0 0.0 0.0 71.841685 16.393134 0.0 0.88596 0.00012 0.000961 21.469581 7e-05 0.000157 1.124844 51.950162 19.891523 0.276879961822
30.0 6.6e-05 1.067039 1.668007 0.483536 12.314538 0.0 0.0 0.0 71.841685 18.790384 0.0 0.832306 0.000121 0.001632 17.932137 0.000104 0.000279 1.050848 54.140997 17.700688 0.246384644235
30.5 0.000123 0.806357 1.383008 0.571862 17.412662 0.0 0.0 0.0 71.841685 20.328262 0.0 0.762197 0.000121 0.002729 14.374867 0.000147 0.00049 0.951509 56.594334 15.247351 0.212235431282
31.0 0.000223 0.602908 1.133889 0.666296 23.477249 0.0 0.0 0.0 71.841685 20.757304 0.0 0.677767 0.000121 0.004496 11.025653 0.000199 0.000845 0.832953 59.179903 12.661782 0.17624561562
31.5 0.000399 0.44599 0.919248 0.766537 30.256339 0.0 0.0 0.0 71.841685 20.00561 0.0 0.582924 0.000121 0.007291 8.069579 0.000256 0.001437 0.703274 61.759005 10.08268 0.140345817334
32.0 0.000704 0.32638 0.736899 0.872288 37.376693 0.0 0.0 0.0 71.841685 18.198502 0.0 0.483094 0.000121 0.011643 5.621999 0.000316 0.002404 0.571386 64.202429 7.639256 0.106334588338
32.5 0.001224 0.236279 0.584107 0.983249 44.403455 0.0 0.0 0.0 71.841685 15.624435 0.0 0.384459 0.000121 0.018309 3.720208 0.000376 0.003962 0.445732 66.405916 5.435769 0.075663161297
33.0 0.002097 0.169202 0.457808 1.099121 50.917648 0.0 0.0 0.0 71.841685 12.659866 0.0 0.292919 0.000121 0.028349 2.333307 0.000431 0.006429 0.333146 68.300444 3.541241 0.0492922876183
33.5 0.003537 0.119853 0.354794 1.219604 56.58882 0.0 0.0 0.0 71.841685 9.679912 0.0 0.213097 0.000121 0.043223 1.384123 0.000479 0.010272 0.238083 69.855918 1.985767 0.0276408745146
34.0 0.00588 0.083971 0.271875 1.344401 61.222093 0.0 0.0 0.0 71.841685 6.983671 0.0 0.147692 0.000121 0.064892 0.774666 0.000519 0.01616 0.162377 71.078318 0.763367 0.0106256834037
34.5 0.009629 0.058189 0.205995 1.47321 64.768928 0.0 0.0 0.0 71.841685 4.753473 0.0 0.097332 0.000121 0.09593 0.407756 0.000549 0.025031 0.1055 72.001643 -0.159958 -0.00222653463654
35.0 0.015539 0.03988 0.154325 1.605734 67.304119 0.0 0.0 0.0 71.841685 3.052048 0.0 0.060892 0.000121 0.139641 0.200882 0.000571 0.038178 0.065194 72.677124 -0.835439 -0.0116288892723
35.5 0.024709 0.027031 0.114315 1.741673 68.981783 0.0 0.0 0.0 71.841685 1.848237 0.0 0.036115 0.000121 0.200157 0.09186 0.000586 0.057334 0.03826 73.162181 -1.320496 -0.0183806379263
36.0 0.038718 0.018119 0.083725 1.880728 69.986745 0.0 0.0 0.0 71.841685 1.055453 0.0 0.020283 0.000121 0.282504 0.038361 0.000596 0.08478 0.021296 73.511429 -1.669744 -0.0232419938369
