	PCPIP2MAM0.015
0.4383	12.893655991296
0.4402	12.84646194912
0.4412	12.620883086976
0.4423	12.478867987584
0.4434	12.547277700096
0.4444	12.669809020608
0.4455	13.18201591872
0.4466	13.370792087424
0.4477	13.345679661312
0.4487	13.30757804928
0.4498	13.298918592
0.4509	13.259085088512
0.4519	13.151274845376
0.453	13.070741892672
0.4541	13.195871050368
0.4551	13.431841261248
0.4562	13.454355850176
0.4573	13.377719653248
0.4583	13.384214246208
0.4594	13.4937563808
0.4605	13.665646607808
0.4624	13.866978989568
0.4634	13.917203841792
0.4645	13.986479500032
0.4661	14.142349731072
0.4672	14.27743726464
0.4683	14.347145895744
0.4693	14.357970217344
0.4712	14.319435632448
0.4723	14.322033469632
0.4733	14.366629674624
0.4743	14.410792906752
0.4755	14.574456649344
0.4765	14.673174462336
0.4777	14.624681501568
0.4787	14.709544182912
0.4797	14.823416046144
0.4809	14.826446856192
0.4819	14.852858200896
0.4829	14.854157119488
0.4841	14.849394417984
0.4851	14.79051010848
0.4861	14.762799845184
0.4873	14.758470116544
0.4883	14.815622534592
0.4893	14.847229553664
0.4905	14.853724146624
0.4915	14.879702518464
0.4934	14.84896144512
0.4945	14.841600906432
0.4955	14.924298723456
0.4982	15.15853704288
0.4993	15.14771272128
0.5003	15.16503163584
0.5022	15.229111619712
0.5033	15.233008375488
0.5043	15.287562956352
0.5054	15.355539696
0.5065	15.430444001472
0.5075	15.501451551168
0.5087	15.59150990688
0.5097	15.677671506816
0.5107	15.727463386176
0.5119	15.727030413312
0.5129	15.720968793216
0.5139	15.739586626368
0.5151	15.696722312832
0.5161	15.622250980224
0.5171	15.607962875712
0.5183	15.624415844544
0.5193	15.659919619392
0.5203	15.742617436416
0.5215	15.858221191104
0.5225	16.008029802048
0.5235	15.96819629856
0.5254	15.969928190016
0.5265	15.965165488512
0.5275	15.926630903616
0.5286	15.873375241344
0.5302	15.854757408192
0.5313	15.862983892608
0.5324	15.878570915712
0.5334	15.936156306624
0.5353	15.953908194048
0.5363	15.903683341824
0.5375	15.8318098464
0.5385	15.827047144896
0.5395	15.789378505728
0.5407	15.768162835392
0.5417	15.821418497664
0.5427	15.807563366016
0.5439	15.778121211264
0.5449	15.72789635904
0.5459	15.703649878656
0.5471	15.651693134976
0.5481	15.614457468672
0.5491	15.578087748096
0.5503	15.540852081792
0.5513	15.527862895872
0.5524	15.45728831904
0.5535	15.487163446656
0.5545	15.43563967584
0.5555	15.35770456032
0.5566	15.28409917344
0.5577	15.271542960384
0.5596	15.226080809664
0.5606	15.136022453952
0.5616	15.094890031872
0.5628	15.076705171584
0.5643	14.969760874176
0.5655	14.926030614912
0.5665	14.922133859136
0.5675	14.983616005824
0.5694	15.003965730432
0.5705	14.892691704384
0.5716	14.763665790912
0.5726	14.629011230208
0.5737	14.638103660352
0.5748	14.60216691264
0.5758	14.518603149888
0.5768	14.496954506688
0.578	14.457553976064
0.579	14.438070197184
0.58	14.525097742848
0.5812	14.470543161984
0.5822	14.354939407296
0.5832	14.183482153152
0.5844	14.030209759296
0.5854	14.018519491968
0.5864	14.027178949248
0.5876	14.089960014528
0.5886	14.155338916992
0.5896	14.099052444672
0.5908	14.084331367296
0.5918	14.038003270848
0.5928	13.907678438784
0.5947	13.971325449792
0.5957	14.050992456768
0.5969	14.050992456768
0.5979	13.922832489024
0.5996	13.808527652928
0.6006	13.63663742592
0.6016	13.472973683328
0.6027	13.15603754688
0.6045	13.3205672352
0.6057	13.419285048192
0.6067	13.622349321408
0.6077	13.63230769728
0.6089	13.41365640096
0.6099	13.250858604096
0.6109	13.285496433216
0.612	13.401100187904
0.6131	13.318835343744
0.6141	13.284197514624
0.6151	13.246528875456
0.6163	12.810958174272
0.6173	12.946478680704
0.6183	12.584946339264
0.6195	12.705312795456
0.6205	12.060183228096
0.6216	12.11473780896
0.6227	12.125129157696
0.6237	12.014721077376
0.6248	11.829408691584
0.6258	11.920765965888
0.6269	12.469342584576
0.628	12.306544787712
0.629	11.962331360832
0.6309	11.990474596992
0.632	12.391407469056
0.633	12.537752297088
0.6341	12.488393390592
0.6351	12.897119774208
0.6367	13.190242403136
0.6378	13.220550503616
0.6388	13.094122427328
0.6399	12.335120996736
