	ULVOri
0.24567	0.651109799907042
0.24639	0.590282860111277
0.24644	0.66074369762546
0.24712	0.603594087818349
0.24734	0.631925772880754
0.24784	0.573419148022584
0.24825	0.622644015638884
0.24857	0.591516375729655
0.24916	0.618636258397015
0.24929	0.57944243593389
0.25002	0.708659663640962
0.25006	0.598984333652308
0.25075	0.640147891348034
0.25097	0.551322576410439
0.25147	0.548331951552269
0.25188	0.519211819168569
0.25278	0.507993894423863
0.25369	0.496216137181994
0.2546	0.481777379940124
0.2555	0.438879455195418
0.25641	0.417130697953548
0.25732	0.395006940711679
0.25822	0.362440015966973
0.25913	0.366781258725103
0.26003	0.349804333980397
0.26094	0.344166576738527
0.26184	0.307486651993821
0.26275	0.259277894751952
0.26366	0.210367137510082
0.26456	0.253752212765376
0.26547	0.258903455523506
