# z rho mu
83.5 1.00995e-06 0
84 1.00995e-06 0
84 9.48457e-07 0
84.5 9.48457e-07 0
84.5 8.84147e-07 0
85 8.84147e-07 0
85 8.19652e-07 0
85.5 8.19652e-07 0
85.5 7.5755e-07 0
86 7.5755e-07 0
86 7.00178e-07 0
86.5 7.00178e-07 0
86.5 6.49411e-07 0
87 6.49411e-07 0
87 6.0649e-07 0
87.5 6.0649e-07 0
87.5 5.71922e-07 0
88 5.71922e-07 0
88 5.45506e-07 0
88.5 5.45506e-07 0
88.5 5.26454e-07 0
89 5.26454e-07 0
89 5.13591e-07 0
89.5 5.13591e-07 0
89.5 5.05564e-07 0
90 5.05564e-07 0
90 5.01047e-07 0
90.5 5.01047e-07 0
90.5 4.98874e-07 0
91 4.98874e-07 0
91 4.98124e-07 0
91.5 4.98124e-07 0
91.5 4.98132e-07 0
92 4.98132e-07 0
92 4.98466e-07 0
92.5 4.98466e-07 0
92.5 4.98877e-07 0
93 4.98877e-07 0
93 4.99244e-07 0
93.5 4.99244e-07 0
93.5 4.99525e-07 0
94 4.99525e-07 0
94 4.99719e-07 0
94.5 4.99719e-07 0
94.5 5e-07 0
95 5e-07 0
95 5e-07 0
95.5 5e-07 0
95.5 5e-07 0
96 5e-07 0
96 5e-07 0
96.5 5e-07 0
96.5 5e-07 0
97 5e-07 0
97 5e-07 0
97.5 5e-07 0
97.5 5e-07 0
98 5e-07 0
98 5e-07 0
98.5 5e-07 0
98.5 5e-07 0
99 5e-07 0
99 5e-07 0
99.5 5e-07 0
99.5 5e-07 0
100 5e-07 0
100 5e-07 0
110 5e-07 0
