# z rho mu P theta
260.216 -4.49844e-07 0 0 270
260.716 -4.49844e-07 0 0 270
260.716 -4.50297e-07 0 0 270
261.216 -4.50297e-07 0 0 270
261.216 -4.50752e-07 0 0 270
261.716 -4.50752e-07 0 0 270
261.716 -4.51208e-07 0 0 270
262.216 -4.51208e-07 0 0 270
262.216 -4.51665e-07 0 0 270
262.716 -4.51665e-07 0 0 270
262.716 -4.52121e-07 0 0 270
263.216 -4.52121e-07 0 0 270
263.216 -4.52577e-07 0 0 270
263.716 -4.52577e-07 0 0 270
263.716 -4.5303e-07 0 0 270
264.216 -4.5303e-07 0 0 270
264.216 -4.53479e-07 0 0 270
264.716 -4.53479e-07 0 0 270
264.716 -4.53924e-07 0 0 270
265.216 -4.53924e-07 0 0 270
265.216 -4.54363e-07 0 0 270
265.716 -4.54363e-07 0 0 270
265.716 -4.54795e-07 0 0 270
266.216 -4.54795e-07 0 0 270
266.216 -4.55218e-07 0 0 270
266.716 -4.55218e-07 0 0 270
266.716 -4.55632e-07 0 0 270
267.216 -4.55632e-07 0 0 270
267.216 -4.56033e-07 0 0 270
267.716 -4.56033e-07 0 0 270
267.716 -4.56423e-07 0 0 270
268.216 -4.56423e-07 0 0 270
268.216 -4.56798e-07 0 0 270
268.716 -4.56798e-07 0 0 270
268.716 -4.57158e-07 0 0 270
269.216 -4.57158e-07 0 0 270
269.216 -4.57501e-07 0 0 270
269.716 -4.57501e-07 0 0 270
269.716 -4.57826e-07 0 0 270
270.216 -4.57826e-07 0 0 270
270.216 -4.58132e-07 0 0 270
270.716 -4.58132e-07 0 0 270
270.716 -4.58418e-07 0 0 270
271.216 -4.58418e-07 0 0 270
271.216 -4.58683e-07 0 0 270
271.716 -4.58683e-07 0 0 270
271.716 -4.58926e-07 0 0 270
272.216 -4.58926e-07 0 0 270
272.216 -4.59146e-07 0 0 270
272.716 -4.59146e-07 0 0 270
272.716 -4.59342e-07 0 0 270
273.216 -4.59342e-07 0 0 270
273.216 -4.59514e-07 0 0 270
273.716 -4.59514e-07 0 0 270
273.716 -4.59662e-07 0 0 270
274.216 -4.59662e-07 0 0 270
274.216 -4.59785e-07 0 0 270
274.716 -4.59785e-07 0 0 270
274.716 -4.59883e-07 0 0 270
275.216 -4.59883e-07 0 0 270
275.216 -4.59957e-07 0 0 270
275.716 -4.59957e-07 0 0 270
275.716 -4.60015e-07 0 0 270
276.216 -4.60015e-07 0 0 270
276.216 -4.60099e-07 0 0 270
276.716 -4.60099e-07 0 0 270
276.716 -4.60212e-07 0 0 270
277.216 -4.60212e-07 0 0 270
277.216 -4.6035e-07 0 0 270
277.716 -4.6035e-07 0 0 270
277.716 -4.60509e-07 0 0 270
278.216 -4.60509e-07 0 0 270
278.216 -4.60684e-07 0 0 270
278.716 -4.60684e-07 0 0 270
278.716 -4.60873e-07 0 0 270
279.216 -4.60873e-07 0 0 270
279.216 -4.6107e-07 0 0 270
279.716 -4.6107e-07 0 0 270
279.716 -4.61274e-07 0 0 270
280.216 -4.61274e-07 0 0 270
280.216 -4.61481e-07 0 0 270
280.716 -4.61481e-07 0 0 270
280.716 -4.61687e-07 0 0 270
281.216 -4.61687e-07 0 0 270
281.216 -4.61891e-07 0 0 270
281.716 -4.61891e-07 0 0 270
281.716 -4.6209e-07 0 0 270
282.216 -4.6209e-07 0 0 270
282.216 -4.62282e-07 0 0 270
282.716 -4.62282e-07 0 0 270
282.716 -4.62466e-07 0 0 270
283.216 -4.62466e-07 0 0 270
283.216 -4.6264e-07 0 0 270
283.716 -4.6264e-07 0 0 270
283.716 -4.62804e-07 0 0 270
284.216 -4.62804e-07 0 0 270
