z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 headgroup2_3 normarea tetherg headgroup1_3 headgroup1_2 defect_hg methyl1 tether defect_hc methyl2 headgroup1 summol water waterperc
19.0 0.0 23.488625 1.503142 0.0 0.071787 0.0 0.0 0.0 45.119927 0.08322 0.0 0.350955 0.082441 1e-06 5.254396 0.007566 0.0 0.40752 31.249653 13.870274 0.307409052324
19.5 0.0 23.024449 1.499228 0.0 0.104392 0.0 0.0 0.0 45.119927 0.113779 0.0 0.419075 0.098748 1e-06 5.321579 0.011002 0.0 0.487527 31.07978 14.040147 0.311173974195
20.0 0.0 22.559963 1.49476 0.0 0.149747 0.0 0.0 0.0 45.119927 0.15329 0.0 0.494284 0.116907 2e-06 5.380262 0.015782 0.0 0.576392 30.941389 14.178538 0.314241155576
20.5 0.0 22.095478 1.489723 0.0 0.211911 0.0 0.0 0.0 45.119927 0.20351 0.0 0.575914 0.136831 4e-06 5.427993 0.022334 1e-06 0.673516 30.837215 14.282712 0.316549980234
21.0 0.0 21.631302 1.484104 0.0 0.295858 0.0 0.0 0.0 45.119927 0.266242 0.0 0.662955 0.158371 8e-06 5.461982 0.031182 2e-06 0.777908 30.769914 14.350013 0.318041582824
21.5 0.0 21.167744 1.477893 0.0 0.407552 0.0 0.0 0.0 45.119927 0.343233 0.0 0.754061 0.181313 1.4e-05 5.479135 0.042955 4e-06 0.888165 30.742069 14.377858 0.318658715915
22.0 0.0 20.705111 1.471078 0.0 0.553977 0.0 0.0 0.0 45.119927 0.436035 0.0 0.847566 0.205391 2.6e-05 5.47612 0.058388 7e-06 1.002482 30.756181 14.363746 0.318345949452
22.5 1e-06 20.243708 1.463653 0.0 0.743104 0.0 0.0 0.0 45.119927 0.545851 0.0 0.941527 0.230288 4.6e-05 5.449465 0.078324 1.3e-05 1.118675 30.814655 14.305272 0.317049981043
23.0 2e-06 19.78384 1.455611 0.0 0.983791 0.0 0.0 0.0 45.119927 0.67336 0.0 1.033783 0.255653 8.2e-05 5.395686 0.103695 2.4e-05 1.234238 30.919765 14.200162 0.314720411671
23.5 3e-06 19.325806 1.446948 0.0 1.285577 0.0 0.0 0.0 45.119927 0.818543 0.0 1.122035 0.281115 0.000143 5.311453 0.13551 4.3e-05 1.346417 31.073593 14.046334 0.311311097644
24.0 6e-06 18.869901 1.437662 0.0 1.658395 0.0 0.0 0.0 45.119927 0.980521 0.0 1.203935 0.306299 0.000245 5.193781 0.174817 7.7e-05 1.452307 31.277946 13.841981 0.306781990139
24.5 1.1e-05 18.41642 1.42775 0.0 2.112168 0.0 0.0 0.0 45.119927 1.157426 0.0 1.277187 0.33084 0.000414 5.04023 0.222665 0.000136 1.54897 31.534217 13.58571 0.301102215879
25.0 2e-05 17.965648 1.417215 0.0 2.656319 0.0 0.0 0.0 45.119927 1.346328 0.0 1.339651 0.354403 0.00069 4.849116 0.280055 0.000237 1.633559 31.843241 13.276686 0.294253268628
25.5 3.7e-05 17.517869 1.406058 0.0 3.299196 0.0 0.0 0.0 45.119927 1.543227 0.0 1.389441 0.376694 0.001132 4.6197 0.347876 0.000406 1.703453 32.205089 12.914838 0.286233574802
26.0 6.7e-05 17.073357 1.394284 0.0 4.047461 0.0 0.0 0.0 45.119927 1.743133 0.0 1.425018 0.397471 0.001831 4.352355 0.426844 0.000685 1.756388 32.618894 12.501033 0.277062349857
26.5 0.000119 16.632384 1.381899 0.0 4.90545 0.0 0.0 0.0 45.119927 1.940228 0.0 1.445261 0.416553 0.002919 4.04868 0.517437 0.001139 1.790571 33.08264 12.037287 0.266784274717
27.0 0.000208 16.195213 1.368911 0.0 5.87459 0.0 0.0 0.0 45.119927 2.128123 0.0 1.449526 0.433819 0.004586 3.711545 0.619839 0.001868 1.80478 33.593008 11.526919 0.255472908899
27.5 0.000361 15.762098 1.355328 0.0 6.952881 0.0 0.0 0.0 45.119927 2.300184 0.0 1.437676 0.449213 0.007097 3.345079 0.733884 0.003018 1.798438 34.145257 10.97467 0.243233327926
