135
0.5359 0.6835 0.0616 0.2365 0.0639 0.0827 0.4972 0.0966 0.8256 0.3451 0.9753 0.4464 0.5811 0.5469 0.3852 0.2995 0.0768 0.5433 0.2315 0.345 0.6169 0.4556 0.3511 0.2366 0.1269 0.4972 0.795 0.6138 0.8985 0.1602 0.6036 0.2978 0.8759 0.8842 0.0256 0.8233 0.8808 0.8171 0.1122 0.3222 0.059 0.2695 0.0561 0.899 0.3911 0.5529 0.1809 0.5084 0.6857 0.7096 0.3089 
0.1069 0.2443 0.6888 0.9295 0.4969 0.7348 0.5755 0.5924 0.3883 0.264 0.6628 0.7181 0.0666 0.971 0.5149 0.0765 0.0568 0.6645 0.3144 0.8751 0.958 0.5817 0.2289 0.9178 0.9654 0.496 0.2798 0.1498 0.5417 0.554 0.8237 0.445 0.3289 0.8132 0.7221 0.8903 0.1817 0.6402 0.708 0.5197 0.0259 0.8292 0.4459 0.1323 0.7487 0.4705 0.51 0.1523 0.1501 0.9377 0.764 
0.6941 0.6538 0.6312 0.7496 0.5244 0.3385 0.359 0.0937 0.1574 0.9953 0.9589 0.3311 0.7498 0.0125 0.373 0.006 0.0267 0.6586 0.1435 0.1639 0.0222 0.3688 0.878 0.2012 0.1641 0.0345 0.0725 0.8792 0.3755 0.0707 0.0521 0.4881 0.0443 0.0045 0.5949 0.1506 0.4389 0.9574 0.3 0.6332 0.128 0.4364 0.0194 0.5086 0 0.8751 0.0683 0.7755 0.4813 0.6689 0.1904 
0.2973 0.4488 0.456 0.4849 0.5302 0.906 0.744 0.5258 0.9272 0.6702 0.7188 0.1481 0.1031 0.4796 0.6824 0.0805 0.2098 0.2188 0.609 0.7141 0.132 0.6101 0.201 0.1214 0.7151 0.4774 0.072 0.6537 0.348 0.3774 0.8527 0.9413 0.8017 0.8417 0.9455 0.3291 0.0833 0.8898 0.8158 0.9493 0.0314 0.8348 0.408 0.6325 0.9632 0.1592 0.3564 0.1707 0.6451 0.7874 0.5456 
0.7442 0.9769 0.126 0.8066 0.2453 0.5725 0.8089 0.8153 0.7167 0.9495 0.2059 0.3041 0.4446 0.0145 0.3832 0.0005 0.9407 0.6596 0.4535 0.1637 0.0982 0.7181 0.0004 0.1519 0.1148 0.0885 0.0704 0.8732 0.3255 0 0.632 0.4881 0.002 0.0042 0.0899 0.0095 0.743 0.754 0.0044 0.6212 0.378 0.1041 0.0892 0.7096 0.3 0.8731 0.425 0.9775 0.0092 0.6834 0.2471 
0.492 0.7522 0.5233 0.8152 0.7673 0.0085 0.7643 0.99 0.4213 0.8942 0.6584 0.6843 0.336 0.0148 0.1755 0.1725 0.0046 0.1732 0.4391 0.4237 0.5179 0.5477 0.9209 0.8458 0.7262 0.9246 0.6476 0.2038 0.2934 0.7296 0.6284 0.8057 0.1231 0.8033 0.8484 0.6513 0.9344 0.2042 0.5757 0.8786 0.2446 0.7705 0.4723 0.0493 0.8987 0.6323 0.2623 0.7752 0.7031 0.7603 0.7454 
0.922 0.2439 0.3716 0.1553 0.9578 0.6345 0.775 0.366 0.1173 0.048 0.4708 0.8427 0.0271 0.0811 0.6475 0.0865 0.4332 0.9596 0.0479 0.1411 0.0621 0.1592 0.9119 0.0261 0.6047 0.3014 0.2463 0.3308 0.4737 0.4894 0.6147 0.0538 0.1199 0.3734 0.2122 0.0693 0.3479 0.7439 0.2075 0.077 0.2649 0.2124 0.247 0.5943 0.6512 0.9245 0.2311 0.9393 0.9669 0.0155 0.1453 
0.1365 0.5545 0.6762 0.5123 0.8827 0.9195 0.718 0.9236 0.0319 0.0499 0.1014 0.4656 0.8734 0.4179 0.172 0.0058 0.5864 0.1071 0.3118 0.8755 0.6759 0.1814 0.1259 0.919 0.9155 0.666 0.1998 0.6824 0.0577 0.5641 0.3727 0.3577 0.7951 0.2619 0.2488 0.6518 0.6195 0.1629 0.546 0.565 0.4876 0.8762 0.9023 0.7722 0.7552 0.2317 0.7656 0.8712 0.9963 0.9718 0.3563 
0.2573 0.4888 0.456 0.4089 0.5904 0.904 0.746 0.5278 0.9278 0.4701 0.7185 0.1461 0.633 0.0716 0.6854 0.0865 0.6098 0.2189 0.4088 0.7141 0.132 0.9161 0.001 0.7216 0.7161 0.408 0.472 0.6537 0.8887 0.5024 0.4237 0.2453 0.9317 0.8717 0.9439 0.389 0.0833 0.8898 0.8358 0.9793 0.0923 0.8348 0.404 0.9325 0.9632 0.1592 0.3564 0.1707 0.6805 0.2689 0.1454 
0.3442 0.9299 0.523 0.8046 0.5451 0.3725 0.8089 0.8153 0.5168 0.9495 0.2629 0.3021 0.8448 0.0145 0.3735 0.0405 0.0037 0.6596 0.4055 0.403 0.0993 0.2171 0.0009 0.1017 0.1148 0.0785 0.1724 0.866 0.7755 0.8 0.632 0.4851 0.4023 0.2072 0.5899 0.004 0.953 0.754 0.0006 0.6212 0.145 0.1664 0.0893 0.9186 0.5 0.8031 0.2627 0.7752 0.7031 0.8403 0.7904 
