z normarea methyl substrate lipid cg phosphate protein serine summol water waterperc
45.5 68.47816 0.008651 0.006921 0.007728 0.224114 0.405909 50.290644 1.255126 52.199093 16.279067 0.237726407953
46.0 68.47816 0.006638 0.005175 0.003028 0.158495 0.307108 50.427902 0.994462 51.902808 16.575352 0.242053115913
46.5 68.47816 0.005067 0.00385 0.000405 0.110519 0.229011 50.557365 0.77683 51.683047 16.795113 0.245262328894
47.0 68.47816 0.003847 0.002849 -0.000922 0.075986 0.168316 50.678426 0.598272 51.526774 16.951386 0.247544414161
47.5 68.47816 0.002906 0.002098 -0.001477 0.05151 0.121926 50.790475 0.454258 51.421696 17.056464 0.249078888802
48.0 68.47816 0.002183 0.001538 -0.001596 0.034428 0.08705 50.892904 0.340044 51.356551 17.121609 0.250030214013
48.5 68.47816 0.001631 0.001121 -0.001491 0.022687 0.061255 50.985104 0.250952 51.321259 17.156901 0.25054559001
49.0 68.47816 0.001213 0.000813 -0.001287 0.01474 0.042483 51.066466 0.182586 51.307014 17.171146 0.250753612539
49.5 68.47816 0.000897 0.000587 -0.001057 0.009442 0.029039 51.136381 0.130968 51.306257 17.171903 0.250764667158
50.0 68.47816 0.00066 0.000421 -0.000838 0.005963 0.019564 51.19424 0.092613 51.312623 17.165537 0.250671703212
50.5 68.47816 0.000483 0.000301 -0.000647 0.003712 0.01299 51.239436 0.064564 51.320839 17.157321 0.250551723352
51.0 68.47816 0.000351 0.000214 -0.00049 0.002279 0.008501 51.271358 0.044373 51.326586 17.151574 0.250467798784
51.5 68.47816 0.000254 0.000151 -0.000364 0.001379 0.005483 51.289398 0.030064 51.326365 17.151795 0.250471026091
52.0 68.47816 0.000183 0.000106 -0.000267 0.000823 0.003486 51.292947 0.02008 51.317358 17.160802 0.250602557078
52.5 68.47816 0.000131 7.4e-05 -0.000194 0.000484 0.002184 51.281396 0.013222 51.297297 17.180863 0.250895511795
53.0 68.47816 9.3e-05 5.2e-05 -0.000139 0.00028 0.001349 51.254138 0.008582 51.264355 17.213805 0.251376570282
53.5 68.47816 6.6e-05 3.6e-05 -9.9e-05 0.00016 0.000821 51.210562 0.005492 51.217038 17.261122 0.252067549712
54.0 68.47816 4.7e-05 2.5e-05 -7e-05 9e-05 0.000492 51.15006 0.003464 51.154108 17.324052 0.252986528844
54.5 68.47816 3.3e-05 1.7e-05 -4.9e-05 5e-05 0.000291 51.072023 0.002154 51.074519 17.403641 0.254148782619
55.0 68.47816 2.3e-05 1.2e-05 -3.4e-05 2.7e-05 0.00017 50.975842 0.00132 50.97736 17.5008 0.25556761455
55.5 68.47816 1.6e-05 8e-06 -2.4e-05 1.5e-05 9.7e-05 50.860909 0.000798 50.861819 17.616341 0.257254882433
56.0 68.47816 1.1e-05 5e-06 -1.6e-05 8e-06 5.5e-05 50.726615 0.000475 50.727153 17.751007 0.25922143644
56.5 68.47816 8e-06 4e-06 -1.1e-05 4e-06 3.1e-05 50.572351 0.000279 50.572666 17.905494 0.261477440399
57.0 68.47816 5e-06 2e-06 -7e-06 2e-06 1.7e-05 50.397508 0.000161 50.397688 18.080472 0.264032678448
57.5 68.47816 3e-06 2e-06 -5e-06 1e-06 9e-06 50.201477 9.2e-05 50.201579 18.276581 0.266896496635
58.0 68.47816 2e-06 1e-06 -3e-06 1e-06 5e-06 49.98365 5.2e-05 49.983708 18.494452 0.270078109575
58.5 68.47816 2e-06 1e-06 -2e-06 0.0 3e-06 49.743417 2.9e-05 49.74345 18.73471 0.273586644267
59.0 68.47816 1e-06 0.0 -2e-06 0.0 1e-06 49.48017 1.6e-05 49.480186 18.997974 0.277431140089
59.5 68.47816 1e-06 0.0 -1e-06 0.0 1e-06 49.193301 8e-06 49.19331 19.28485 0.281620446577
60.0 68.47816 0.0 0.0 -1e-06 0.0 0.0 48.882199 4e-06 48.882202 19.595958 0.286163617714
60.5 68.47816 0.0 0.0 -0.0 0.0 0.0 48.538729 2e-06 48.538731 19.939429 0.291179392086
61.0 68.47816 0.0 0.0 -0.0 0.0 0.0 48.11948 1e-06 48.119481 20.358679 0.297301782057
61.5 68.47816 0.0 0.0 -0.0 0.0 0.0 47.622214 1e-06 47.622215 20.855945 0.304563454976
62.0 68.47816 0.0 0.0 -0.0 0.0 0.0 47.052455 0.0 47.052455 21.425705 0.312883771994
62.5 68.47816 0.0 0.0 -0.0 0.0 0.0 46.415726 0.0 46.415726 22.062434 0.322182050452
63.0 68.47816 0.0 0.0 -0.0 0.0 0.0 45.717551 0.0 45.717551 22.760609 0.332377636899
63.5 68.47816 0.0 0.0 -0.0 0.0 0.0 44.963454 0.0 44.963454 23.514706 0.343389863279
64.0 68.47816 0.0 0.0 -0.0 0.0 0.0 44.158957 0.0 44.158957 24.319203 0.355138090743
64.5 68.47816 0.0 0.0 -0.0 0.0 0.0 43.309585 0.0 43.309585 25.168575 0.367541636633
65.0 68.47816 0.0 0.0 -0.0 0.0 0.0 42.42086 0.0 42.42086 26.0573 0.380519862099
65.5 68.47816 0.0 0.0 -0.0 0.0 0.0 41.498307 0.0 41.498307 26.979853 0.393992084484
66.0 68.47816 0.0 0.0 -0.0 0.0 0.0 40.547449 0.0 40.547449 27.930711 0.407877650334
66.5 68.47816 0.0 0.0 -0.0 0.0 0.0 39.573808 0.0 39.573808 28.904352 0.422095920802
67.0 68.47816 0.0 0.0 -0.0 0.0 0.0 38.58291 0.0 38.58291 29.89525 0.436566198624
67.5 68.47816 0.0 0.0 -0.0 0.0 0.0 37.580276 0.0 37.580276 30.897884 0.451207859557
68.0 68.47816 0.0 0.0 -0.0 0.0 0.0 36.571431 0.0 36.571431 31.906729 0.465940220941
68.5 68.47816 0.0 0.0 -0.0 0.0 0.0 35.561899 0.0 35.561899 32.916261 0.48068261472
69.0 68.47816 0.0 0.0 -0.0 0.0 0.0 34.557201 0.0 34.557201 33.920959 0.495354416649
69.5 68.47816 0.0 0.0 -0.0 0.0 0.0 33.562863 0.0 33.562863 34.915297 0.509874929467
70.0 68.47816 0.0 0.0 -0.0 0.0 0.0 32.584407 0.0 32.584407 35.893753 0.524163514323
70.5 68.47816 0.0 0.0 -0.0 0.0 0.0 31.627358 0.0 31.627358 36.850802 0.538139488561
71.0 68.47816 0.0 0.0 -0.0 0.0 0.0 30.697238 0.0 30.697238 37.780922 0.55172221333
71.5 68.47816 0.0 0.0 -0.0 0.0 0.0 29.79957 0.0 29.79957 38.67859 0.56483103518
72.0 68.47816 0.0 0.0 -0.0 0.0 0.0 28.939879 0.0 28.939879 39.538281 0.57738527145
72.5 68.47816 0.0 0.0 -0.0 0.0 0.0 28.123688 0.0 28.123688 40.354472 0.589304268689
73.0 68.47816 0.0 0.0 -0.0 0.0 0.0 27.356521 0.0 27.356521 41.121639 0.600507358843
73.5 68.47816 0.0 0.0 -0.0 0.0 0.0 26.6439 0.0 26.6439 41.83426 0.61091390306
74.0 68.47816 0.0 0.0 -0.0 0.0 0.0 25.991349 0.0 25.991349 42.486811 0.620443233288
74.5 68.47816 0.0 0.0 -0.0 0.0 0.0 25.404392 0.0 25.404392 43.073768 0.629014681469
75.0 68.47816 0.0 0.0 -0.0 0.0 0.0 24.888551 0.0 24.888551 43.589609 0.636547608756
75.5 68.47816 0.0 0.0 -0.0 0.0 0.0 24.430413 0.0 24.430413 44.047747 0.643237887817
76.0 68.47816 0.0 0.0 -0.0 0.0 0.0 24.012859 0.0 24.012859 44.465301 0.649335510767
76.5 68.47816 0.0 0.0 -0.0 0.0 0.0 23.634754 0.0 23.634754 44.843406 0.654857052234
77.0 68.47816 0.0 0.0 -0.0 0.0 0.0 23.294958 0.0 23.294958 45.183202 0.659819159861
77.5 68.47816 0.0 0.0 -0.0 0.0 0.0 22.992337 0.0 22.992337 45.485823 0.664238393672
78.0 68.47816 0.0 0.0 -0.0 0.0 0.0 22.725753 0.0 22.725753 45.752407 0.668131372105
78.5 68.47816 0.0 0.0 -0.0 0.0 0.0 22.494069 0.0 22.494069 45.984091 0.671514698993
79.0 68.47816 0.0 0.0 0.0 0.0 0.0 22.296149 0.0 22.296149 46.182011 0.674404963568
79.5 68.47816 0.0 0.0 0.0 0.0 0.0 22.130856 0.0 22.130856 46.347304 0.676818769663
80.0 68.47816 0.0 0.0 0.0 0.0 0.0 21.997052 0.0 21.997052 46.481108 0.678772735716
80.5 68.47816 0.0 0.0 0.0 0.0 0.0 21.893602 0.0 21.893602 46.584558 0.680283436354
81.0 68.47816 0.0 0.0 0.0 0.0 0.0 21.819368 0.0 21.819368 46.658792 0.681367490014
81.5 68.47816 0.0 0.0 0.0 0.0 0.0 21.773214 0.0 21.773214 46.704946 0.682041485928
82.0 68.47816 0.0 0.0 0.0 0.0 0.0 21.754002 0.0 21.754002 46.724158 0.682322042532
82.5 68.47816 0.0 0.0 0.0 0.0 0.0 21.760597 0.0 21.760597 46.717563 0.682225734453
83.0 68.47816 0.0 0.0 0.0 0.0 0.0 21.79186 0.0 21.79186 46.6863 0.681769194733
83.5 68.47816 0.0 0.0 0.0 0.0 0.0 21.846656 0.0 21.846656 46.631504 0.680968997999
84.0 68.47816 0.0 0.0 0.0 0.0 0.0 21.923848 0.0 21.923848 46.554312 0.679841748084
84.5 68.47816 0.0 0.0 0.0 0.0 0.0 22.022298 0.0 22.022298 46.455862 0.678404063427
85.0 68.47816 0.0 0.0 0.0 0.0 0.0 22.14087 0.0 22.14087 46.33729 0.676672533257
85.5 68.47816 0.0 0.0 0.0 0.0 0.0 22.278428 0.0 22.278428 46.199732 0.674663746806
86.0 68.47816 0.0 0.0 0.0 0.0 0.0 22.433833 0.0 22.433833 46.044327 0.672394337114
86.5 68.47816 0.0 0.0 0.0 0.0 0.0 22.605951 0.0 22.605951 45.872209 0.669880864205
87.0 68.47816 0.0 0.0 0.0 0.0 0.0 22.793643 0.0 22.793643 45.684517 0.66713996112
87.5 68.47816 0.0 0.0 0.0 0.0 0.0 22.998167 0.0 22.998167 45.479993 0.664153257038
88.0 68.47816 0.0 0.0 0.0 0.0 0.0 23.2289 0.0 23.2289 45.24926 0.660783817789
88.5 68.47816 0.0 0.0 0.0 0.0 0.0 23.485895 0.0 23.485895 44.992265 0.657030869404
89.0 68.47816 0.0 0.0 0.0 0.0 0.0 23.767958 0.0 23.767958 44.710202 0.652911848099
89.5 68.47816 0.0 0.0 0.0 0.0 0.0 24.073896 0.0 24.073896 44.404264 0.648444175486
90.0 68.47816 0.0 0.0 0.0 0.0 0.0 24.402514 0.0 24.402514 44.075646 0.643645302385
90.5 68.47816 0.0 0.0 0.0 0.0 0.0 24.752619 0.0 24.752619 43.725541 0.63853265041
91.0 68.47816 0.0 0.0 0.0 0.0 0.0 25.123017 0.0 25.123017 43.355143 0.633123655776
91.5 68.47816 0.0 0.0 0.0 0.0 0.0 25.512514 0.0 25.512514 42.965646 0.627435754699
92.0 68.47816 0.0 0.0 0.0 0.0 0.0 25.919916 0.0 25.919916 42.558244 0.621486383396
92.5 68.47816 0.0 0.0 0.0 0.0 0.0 26.344029 0.0 26.344029 42.134131 0.615292978082
93.0 68.47816 0.0 0.0 0.0 0.0 0.0 26.783661 0.0 26.783661 41.694499 0.608872945768
93.5 68.47816 0.0 0.0 0.0 0.0 0.0 27.237616 0.0 27.237616 41.240544 0.602243751877
94.0 68.47816 0.0 0.0 0.0 0.0 0.0 27.704701 0.0 27.704701 40.773459 0.59542281802
94.5 68.47816 0.0 0.0 0.0 0.0 0.0 28.183722 0.0 28.183722 40.294438 0.588427580414
95.0 68.47816 0.0 0.0 0.0 0.0 0.0 28.673486 0.0 28.673486 39.804674 0.581275460672
95.5 68.47816 0.0 0.0 0.0 0.0 0.0 29.172798 0.0 29.172798 39.305362 0.573983909614
96.0 68.47816 0.0 0.0 0.0 0.0 0.0 29.680465 0.0 29.680465 38.797695 0.566570348853
96.5 68.47816 0.0 0.0 0.0 0.0 0.0 30.195293 0.0 30.195293 38.282867 0.559052214604
97.0 68.47816 0.0 0.0 0.0 0.0 0.0 30.716088 0.0 30.716088 37.762072 0.551446943084
97.5 68.47816 0.0 0.0 0.0 0.0 0.0 31.241656 0.0 31.241656 37.236504 0.543771970509
98.0 68.47816 0.0 0.0 0.0 0.0 0.0 31.770804 0.0 31.770804 36.707356 0.536044718491
98.5 68.47816 0.0 0.0 0.0 0.0 0.0 32.302338 0.0 32.302338 36.175822 0.528282623248
99.0 68.47816 0.0 0.0 0.0 0.0 0.0 32.835064 0.0 32.835064 35.643096 0.520503120995
99.5 68.47816 0.0 0.0 0.0 0.0 0.0 33.367787 0.0 33.367787 35.110373 0.512723662552
100.0 68.47816 0.0 0.0 0.0 0.0 0.0 33.899315 0.0 33.899315 34.578845 0.504961654928
100.5 68.47816 0.0 0.0 0.0 0.0 0.0 34.428454 0.0 34.428454 34.049706 0.497234534339
101.0 68.47816 0.0 0.0 0.0 0.0 0.0 34.954009 0.0 34.954009 33.524151 0.489559751605
101.5 68.47816 0.0 0.0 0.0 0.0 0.0 35.474786 0.0 35.474786 33.003374 0.481954742943
102.0 68.47816 0.0 0.0 0.0 0.0 0.0 36.017764 0.0 36.017764 32.460396 0.474025528723
102.5 68.47816 0.0 0.0 0.0 0.0 0.0 36.642551 0.0 36.642551 31.835609 0.464901641633
103.0 68.47816 0.0 0.0 0.0 0.0 0.0 37.33877 0.0 37.33877 31.13939 0.454734619038
103.5 68.47816 0.0 0.0 0.0 0.0 0.0 38.093047 0.0 38.093047 30.385113 0.443719764082
104.0 68.47816 0.0 0.0 0.0 0.0 0.0 38.892007 0.0 38.892007 29.586153 0.432052394515
104.5 68.47816 0.0 0.0 0.0 0.0 0.0 39.722274 0.0 39.722274 28.755886 0.419927842687
105.0 68.47816 0.0 0.0 0.0 0.0 0.0 40.570473 0.0 40.570473 27.907687 0.407541426347
105.5 68.47816 0.0 0.0 0.0 0.0 0.0 41.423229 0.0 41.423229 27.054931 0.395088463241
106.0 68.47816 0.0 0.0 0.0 0.0 0.0 42.267167 0.0 42.267167 26.210993 0.382764271119
106.5 68.47816 0.0 0.0 0.0 0.0 0.0 43.088911 0.0 43.088911 25.389249 0.370764182332
107.0 68.47816 0.0 0.0 0.0 0.0 0.0 43.875087 0.0 43.875087 24.603073 0.359283500024
107.5 68.47816 0.0 0.0 0.0 0.0 0.0 44.61232 0.0 44.61232 23.86584 0.348517541943
108.0 68.47816 0.0 0.0 0.0 0.0 0.0 45.287233 0.0 45.287233 23.190927 0.338661655044
108.5 68.47816 0.0 0.0 0.0 0.0 0.0 45.886453 0.0 45.886453 22.591707 0.329911127869
109.0 68.47816 0.0 0.0 0.0 0.0 0.0 46.396604 0.0 46.396604 22.081556 0.322461292768
109.5 68.47816 0.0 0.0 0.0 0.0 0.0 46.80431 0.0 46.80431 21.67385 0.316507482094
110.0 68.47816 0.0 0.0 0.0 0.0 0.0 47.096197 0.0 47.096197 21.381963 0.312244998989
110.5 68.47816 0.0 0.0 0.0 0.0 0.0 47.258889 0.0 47.258889 21.219271 0.309869175807
111.0 68.47816 0.0 0.0 0.0 0.0 0.0 47.285345 0.0 47.285345 21.192815 0.309482833651
111.5 68.47816 0.0 0.0 0.0 0.0 0.0 47.256507 0.0 47.256507 21.221653 0.30990396062
112.0 68.47816 0.0 0.0 0.0 0.0 0.0 47.201447 0.0 47.201447 21.276713 0.310708012598
112.5 68.47816 0.0 0.0 0.0 0.0 0.0 47.120991 0.0 47.120991 21.357169 0.311882927345
113.0 68.47816 0.0 0.0 0.0 0.0 0.0 47.015967 0.0 47.015967 21.462193 0.313416613414
113.5 68.47816 0.0 0.0 0.0 0.0 0.0 46.8872 0.0 46.8872 21.59096 0.315297023168
114.0 68.47816 0.0 0.0 0.0 0.0 0.0 46.735516 0.0 46.735516 21.742644 0.317512094367
114.5 68.47816 0.0 0.0 0.0 0.0 0.0 46.561743 0.0 46.561743 21.916417 0.320049735565
115.0 68.47816 0.0 0.0 0.0 0.0 0.0 46.366707 0.0 46.366707 22.111453 0.322897884523
115.5 68.47816 0.0 0.0 0.0 0.0 0.0 46.151234 0.0 46.151234 22.326926 0.326044478999
116.0 68.47816 0.0 0.0 0.0 0.0 0.0 45.91615 0.0 45.91615 22.56201 0.329477456754
116.5 68.47816 0.0 0.0 0.0 0.0 0.0 45.662283 0.0 45.662283 22.815877 0.333184726342
117.0 68.47816 0.0 0.0 0.0 0.0 0.0 45.390458 0.0 45.390458 23.087702 0.337154240126
