p2sigma m2sigma msigma psigma zaxis mean 
1.75790475 0.06871 0.343538 1.213334238 144.5 0.7324485 
1.782233763 0.066842 0.340901886 1.247958319 145.0 0.74674 
1.813784649 0.065121 0.339389139 1.263346 145.5 0.755726 
1.827208722 0.063536 0.343893002 1.276943224 146.0 0.765938 
1.838028 0.062074 0.357543 1.288335113 146.5 0.775434 
1.820245 0.058115 0.361722253 1.291094 147.0 0.784799 
1.817646 0.053734 0.369977844 1.300214 147.5 0.7862865 
1.845509976 0.049578 0.366292 1.307297 148.0 0.790386 
1.852604 0.045642 0.358260646 1.309332242 148.5 0.784672 
1.864659662 0.041921 0.359951706 1.294586 149.0 0.77761 
1.84812508 0.038407 0.350318 1.28868405 149.5 0.78129 
1.824711881 0.037592 0.337154 1.2806 150.0 0.774272 
1.794020116 0.036822 0.324003 1.267653 150.5 0.76295 
1.739847536 0.036027 0.319186 1.252468266 151.0 0.754302 
1.717067183 0.035273078 0.315593 1.234697 151.5 0.7458 
1.698030704 0.034556726 0.31447 1.214181 152.0 0.735912 
1.688467222 0.033814739 0.303823 1.204600516 152.5 0.728413 
1.641182 0.033047795 0.29561 1.170619 153.0 0.7075325 
1.646804 0.03225725 0.286257156 1.155950601 153.5 0.694141 
1.618943 0.031444299 0.27534334 1.113933454 154.0 0.673684 
1.544141 0.030420284 0.263487 1.093447 154.5 0.653476 
1.464118 0.029323216 0.247648833 1.073837 155.0 0.631232 
1.414672 0.028229062 0.233548167 1.041475 155.5 0.608556 
1.375374553 0.027056 0.220026 1.002776952 156.0 0.601797 
1.370698 0.026092 0.212146126 0.94191 156.5 0.578342 
1.307293 0.025123 0.197140408 0.907044721 157.0 0.549999 
1.273506987 0.023945962 0.180475 0.858413 157.5 0.52861 
1.249739515 0.021329229 0.16321332 0.818256 158.0 0.4898085 
1.221822299 0.019373318 0.146638 0.777467 158.5 0.4505695 
1.190066341 0.016523106 0.13091433 0.732351 159.0 0.4197305 
1.154785516 0.014129367 0.116264962 0.682819 159.5 0.385431 
1.116291148 0.01205853 0.106155647 0.629705399 160.0 0.355685 
1.074895273 0.010152312 0.093253434 0.580806 160.5 0.312492 
1.030910732 0.008410162 0.082533 0.550613 161.0 0.280108 
0.984649722 0.006832207 0.06838 0.516021439 161.5 0.2475635 
0.936424245 0.005418735 0.057793785 0.471306 162.0 0.218487 
0.886547337 0.003275865 0.042373 0.435478 162.5 0.190687 
0.83533 0.001897316 0.030063983 0.396401 163.0 0.158235 
0.783085592 0.000237236 0.019305763 0.364347 163.5 0.134907 
0.730124793 0.0 0.010607375 0.331115 164.0 0.110078 
0.676761961 0.0 0.003110052 0.297184 164.5 0.0873365 
0.623308615 0.0 0.000319034 0.271462672 165.0 0.071178 
0.570075757 0.0 0.0 0.244974869 165.5 0.053913 
0.518422738 0.0 0.0 0.224068 166.0 0.039075 
0.475964 0.0 0.0 0.20579634 166.5 0.027288 
0.441665 0.0 0.0 0.182616892 167.0 0.016675 
0.382819 0.0 0.0 0.157887 167.5 0.009369 
0.326016 0.0 0.0 0.136279 168.0 0.0036245 
0.28810005 0.0 0.0 0.123025756 168.5 0.001059 
0.246616 0.0 0.0 0.105086734 169.0 7.9e-05 
0.21699949 0.0 0.0 0.087792 169.5 0.0 
0.183715433 0.0 0.0 0.070334 170.0 0.0 
0.156870971 0.0 0.0 0.05651 170.5 0.0 
0.132726 0.0 0.0 0.042626 171.0 0.0 
0.112372 0.0 0.0 0.032527 171.5 0.0 
0.095777 0.0 0.0 0.02354 172.0 0.0 
0.076273 0.0 0.0 0.015768655 172.5 0.0 
0.058703 0.0 0.0 0.009437 173.0 0.0 
0.04319 0.0 0.0 0.00485105 173.5 0.0 
0.030465953 0.0 0.0 0.001716231 174.0 0.0 
0.021438 0.0 0.0 0.000398 174.5 0.0 
0.012906 0.0 0.0 0.0 175.0 0.0 
0.006992834 0.0 0.0 0.0 175.5 0.0 
0.003553077 0.0 0.0 0.0 176.0 0.0 
