# bilayer.tether_hg_zaxis bilayer.tether_hg_area bilayer.tether_hg_msigma_area bilayer.tether_hg_psigma_area
6.950000000000000000e+01 0.000000000000000000e+00 1.001547739851841756e+00 1.783961377729785358e+00
7.000000000000000000e+01 0.000000000000000000e+00 1.086681355672443505e+00 1.883517955586281989e+00
7.050000000000000000e+01 0.000000000000000000e+00 1.177632321885901057e+00 1.992398846267816603e+00
7.100000000000000000e+01 0.000000000000000000e+00 1.281683306374278075e+00 2.107980161862154311e+00
7.150000000000000000e+01 0.000000000000000000e+00 1.394162113647579915e+00 2.227577081559481087e+00
7.200000000000000000e+01 0.000000000000000000e+00 1.517691903188032043e+00 2.348761513990481387e+00
7.250000000000000000e+01 0.000000000000000000e+00 1.643115212774592937e+00 2.477688496235199711e+00
7.300000000000000000e+01 0.000000000000000000e+00 1.769408825841565225e+00 2.613565068592922813e+00
7.350000000000000000e+01 0.000000000000000000e+00 1.895510392095282715e+00 2.745010522788535745e+00
7.400000000000000000e+01 0.000000000000000000e+00 2.028679641919898469e+00 2.873848564548632467e+00
7.450000000000000000e+01 0.000000000000000000e+00 2.163788688201502719e+00 3.014798979207955476e+00
7.500000000000000000e+01 0.000000000000000000e+00 2.322688273832288264e+00 3.156953424602389813e+00
7.550000000000000000e+01 0.000000000000000000e+00 2.482187472007893803e+00 3.318936081979373398e+00
7.600000000000000000e+01 0.000000000000000000e+00 2.662836681189234334e+00 3.495157383268952422e+00
7.650000000000000000e+01 0.000000000000000000e+00 2.852354842247819100e+00 3.658331059579927658e+00
7.700000000000000000e+01 0.000000000000000000e+00 3.041870644984726368e+00 3.839636335977325121e+00
7.750000000000000000e+01 0.000000000000000000e+00 3.245324828753673785e+00 4.045307850664533689e+00
7.800000000000000000e+01 0.000000000000000000e+00 3.465410776502510615e+00 4.254126809854436253e+00
7.850000000000000000e+01 0.000000000000000000e+00 3.699103048343337363e+00 4.481396445812473317e+00
7.900000000000000000e+01 0.000000000000000000e+00 3.932954588064106360e+00 4.697705012074758990e+00
7.950000000000000000e+01 0.000000000000000000e+00 4.143357216844385960e+00 4.939345836834160508e+00
8.000000000000000000e+01 0.000000000000000000e+00 4.364812512898909702e+00 5.189523913630791796e+00
8.050000000000000000e+01 0.000000000000000000e+00 4.591448293710386430e+00 5.428337770463923739e+00
8.100000000000000000e+01 0.000000000000000000e+00 4.837034708265489868e+00 5.679413351554962297e+00
8.150000000000000000e+01 0.000000000000000000e+00 5.063775871554977215e+00 5.926618531959497282e+00
8.200000000000000000e+01 0.000000000000000000e+00 5.268212085450240778e+00 6.181486224725794898e+00
8.250000000000000000e+01 0.000000000000000000e+00 5.483290473107331309e+00 6.430906987023224275e+00
8.300000000000000000e+01 0.000000000000000000e+00 5.681661566544700115e+00 6.643829482802927622e+00
8.350000000000000000e+01 0.000000000000000000e+00 5.886838987389532818e+00 6.857558631632266533e+00
8.400000000000000000e+01 0.000000000000000000e+00 6.092353328728926876e+00 7.082066913548201725e+00
8.450000000000000000e+01 0.000000000000000000e+00 6.294909355441243193e+00 7.318628937400275092e+00
8.500000000000000000e+01 0.000000000000000000e+00 6.508284867297405185e+00 7.543422039791062517e+00
8.550000000000000000e+01 0.000000000000000000e+00 6.725623726360193011e+00 7.755666931291388622e+00
8.600000000000000000e+01 0.000000000000000000e+00 6.944837395945678615e+00 7.946527743316212700e+00
8.650000000000000000e+01 0.000000000000000000e+00 7.155081025886294022e+00 8.150044305011011403e+00
8.700000000000000000e+01 0.000000000000000000e+00 7.350050250198012947e+00 8.348949553828717285e+00
8.750000000000000000e+01 0.000000000000000000e+00 7.535039140262932200e+00 8.513982400033095033e+00
8.800000000000000000e+01 0.000000000000000000e+00 7.728848969632457155e+00 8.661533518289138200e+00
8.850000000000000000e+01 0.000000000000000000e+00 7.929599821138238802e+00 8.830666640424642111e+00
8.900000000000000000e+01 0.000000000000000000e+00 8.130843583893064164e+00 8.993188393172545148e+00
8.950000000000000000e+01 0.000000000000000000e+00 8.327908298333841941e+00 9.135081767503686834e+00
9.000000000000000000e+01 0.000000000000000000e+00 8.512559111993626360e+00 9.281403409719912290e+00
9.050000000000000000e+01 0.000000000000000000e+00 8.703009081005012249e+00 9.447101775839794158e+00
9.100000000000000000e+01 0.000000000000000000e+00 8.859572156154612799e+00 9.613251916000431052e+00
9.150000000000000000e+01 0.000000000000000000e+00 9.015484881832117381e+00 9.800707831946795068e+00
9.200000000000000000e+01 0.000000000000000000e+00 9.159740614013735183e+00 9.999872319055663539e+00
