# bilayer.substrate_zaxis bilayer.substrate_area bilayer.substrate_msigma_area bilayer.substrate_psigma_area
3.350000000000000000e+01 1.936632993304575889e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.400000000000000000e+01 1.427282114378839728e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.450000000000000000e+01 1.042233314166132740e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+01 7.540458088719778629e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.550000000000000000e+01 5.404979713151398385e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.600000000000000000e+01 3.838315710237037021e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.650000000000000000e+01 2.700381361633890503e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.700000000000000000e+01 1.882068828288823575e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.750000000000000000e+01 1.299453573220435941e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.800000000000000000e+01 8.887720609456176493e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.850000000000000000e+01 6.021635362190872788e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000000e+01 4.041322975777712073e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.950000000000000000e+01 2.686636010923978361e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+01 1.769138602061385949e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.050000000000000000e+01 1.153917269613313843e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.100000000000000000e+01 7.454863905199289598e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.150000000000000000e+01 4.770345446610124588e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000000e+01 3.023418031058606472e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+01 1.897922005658732238e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.300000000000000000e+01 1.180005880092888651e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.350000000000000000e+01 7.266240751477470890e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.400000000000000000e+01 4.431488557064638506e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.450000000000000000e+01 2.676692112631908757e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+01 1.601220324120575445e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.550000000000000000e+01 9.486430758328876962e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.600000000000000000e+01 5.566075160043947089e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.650000000000000000e+01 3.234337855552439008e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.700000000000000000e+01 1.861262403609521481e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.750000000000000000e+01 1.060746787043047337e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000000e+01 5.986788503419391759e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.850000000000000000e+01 3.346189384566267536e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.900000000000000000e+01 1.852157927861566849e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.950000000000000000e+01 1.015250157538874264e-07 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 5.511025731576303114e-08 0.000000000000000000e+00 0.000000000000000000e+00
5.050000000000000000e+01 2.962463819666409248e-08 0.000000000000000000e+00 0.000000000000000000e+00
5.100000000000000000e+01 1.577000833428194720e-08 0.000000000000000000e+00 0.000000000000000000e+00
5.150000000000000000e+01 8.313164279996225889e-09 0.000000000000000000e+00 0.000000000000000000e+00
5.200000000000000000e+01 4.339636134995900045e-09 0.000000000000000000e+00 0.000000000000000000e+00
5.250000000000000000e+01 2.243315328676847831e-09 0.000000000000000000e+00 0.000000000000000000e+00
5.300000000000000000e+01 1.148352651006038244e-09 0.000000000000000000e+00 0.000000000000000000e+00
5.350000000000000000e+01 5.821113319941825293e-10 0.000000000000000000e+00 0.000000000000000000e+00
5.400000000000000000e+01 2.921998697466962799e-10 0.000000000000000000e+00 0.000000000000000000e+00
5.450000000000000000e+01 1.452425572669367705e-10 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+01 7.148947817654200380e-11 0.000000000000000000e+00 0.000000000000000000e+00
5.550000000000000000e+01 3.484394995748438183e-11 0.000000000000000000e+00 0.000000000000000000e+00
5.600000000000000000e+01 1.681576404907340155e-11 0.000000000000000000e+00 0.000000000000000000e+00
5.650000000000000000e+01 8.037333655762171783e-12 0.000000000000000000e+00 0.000000000000000000e+00
5.700000000000000000e+01 3.804710029174454067e-12 0.000000000000000000e+00 0.000000000000000000e+00
5.750000000000000000e+01 1.782973322555265807e-12 0.000000000000000000e+00 0.000000000000000000e+00
5.800000000000000000e+01 8.279197862995755918e-13 0.000000000000000000e+00 0.000000000000000000e+00
5.850000000000000000e+01 3.814012498683438205e-13 0.000000000000000000e+00 0.000000000000000000e+00
5.900000000000000000e+01 1.736460975010345777e-13 0.000000000000000000e+00 0.000000000000000000e+00
5.950000000000000000e+01 7.752057924153329048e-14 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+01 3.410905486627465235e-14 0.000000000000000000e+00 0.000000000000000000e+00
6.050000000000000000e+01 1.550411584830665873e-14 0.000000000000000000e+00 0.000000000000000000e+00
6.100000000000000000e+01 6.201646339322663491e-15 0.000000000000000000e+00 0.000000000000000000e+00
6.150000000000000000e+01 3.100823169661331745e-15 0.000000000000000000e+00 0.000000000000000000e+00
6.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.300000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.350000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.450000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.550000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.650000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.850000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.950000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.050000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.100000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.150000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.300000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.350000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.450000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.550000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.650000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.850000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.950000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.050000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.100000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.150000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.300000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.350000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.450000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.550000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.650000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.850000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.950000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.050000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.100000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.150000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.300000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.350000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.450000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.601708629387329486e-03
9.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.984024850544743257e-03
9.550000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.349480283402096359e-01
9.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.933561313795041925e-01
9.650000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.502731590479871260e-01
9.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.767259524585441444e-01
9.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.001843861118712820e+00
9.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.225087542399557528e+00
9.850000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.435124235281662664e+00
9.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.681241962138373847e+00
9.950000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.100118378618774262e+00
1.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.491035711035435973e+00
1.005000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.772182572725128580e+00
1.010000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.012234297934598626e+00
1.015000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.245158495173618984e+00
1.020000000000000000e+02 0.000000000000000000e+00 1.420117278829081120e-01 3.470201503208747429e+00
1.025000000000000000e+02 0.000000000000000000e+00 2.082406933575658703e-01 3.902691113151679936e+00
1.030000000000000000e+02 0.000000000000000000e+00 2.356186675597082558e-01 4.610201578711071058e+00
1.035000000000000000e+02 0.000000000000000000e+00 2.634538240340065784e-01 5.139814227235831368e+00
1.040000000000000000e+02 0.000000000000000000e+00 2.917487924620393858e-01 5.638322039157065646e+00
1.045000000000000000e+02 0.000000000000000000e+00 3.205062025253852531e-01 5.925738556986678951e+00
1.050000000000000000e+02 0.000000000000000000e+00 3.497286839056228391e-01 6.160892181901158615e+00
1.055000000000000000e+02 0.000000000000000000e+00 3.721045495839028772e-01 6.376388692632542821e+00
1.060000000000000000e+02 0.000000000000000000e+00 3.933621111797137582e-01 6.571405460821294398e+00
1.065000000000000000e+02 0.000000000000000000e+00 4.145428458367128033e-01 6.745119858107874400e+00
1.070000000000000000e+02 0.000000000000000000e+00 4.356355260704790067e-01 6.896709256132740329e+00
1.075000000000000000e+02 0.000000000000000000e+00 4.566289243965913625e-01 7.025595767271933134e+00
1.080000000000000000e+02 0.000000000000000000e+00 4.775118133306288648e-01 7.138369667493227766e+00
1.085000000000000000e+02 0.000000000000000000e+00 5.008696471539917372e-01 7.238033084650512095e+00
1.090000000000000000e+02 0.000000000000000000e+00 5.328513702865110835e-01 7.324234223822564616e+00
1.095000000000000000e+02 0.000000000000000000e+00 5.656091096727666745e-01 7.473532999776681507e+00
1.100000000000000000e+02 0.000000000000000000e+00 5.991057097280562127e-01 7.601395838044154196e+00
1.105000000000000000e+02 0.000000000000000000e+00 6.493138824365772832e-01 7.698017000340341198e+00
1.110000000000000000e+02 0.000000000000000000e+00 7.019546665260055773e-01 7.759854668354137175e+00
1.115000000000000000e+02 0.000000000000000000e+00 7.564261971716765842e-01 7.700098562172914107e+00
1.120000000000000000e+02 0.000000000000000000e+00 8.126712587957619638e-01 7.564558133305594012e+00
1.125000000000000000e+02 0.000000000000000000e+00 8.706326358204337090e-01 7.396309843467487433e+00
1.130000000000000000e+02 0.000000000000000000e+00 9.186375951601939427e-01 7.199418156548615499e+00
1.135000000000000000e+02 0.000000000000000000e+00 9.563242669023779285e-01 6.981472742948578336e+00
1.140000000000000000e+02 0.000000000000000000e+00 9.852051119141014279e-01 6.745484136059849867e+00
1.145000000000000000e+02 0.000000000000000000e+00 9.864449284226785020e-01 6.494315638116955114e+00
1.150000000000000000e+02 0.000000000000000000e+00 9.869940374865086019e-01 6.353854952061063877e+00
1.155000000000000000e+02 0.000000000000000000e+00 9.869402942393969980e-01 6.308370103551201424e+00
1.160000000000000000e+02 0.000000000000000000e+00 9.864380837295165794e-01 6.253096573850649875e+00
