	PCPIP2MAM0.008
0.3792	13.602
0.3802	13.515
0.3814	13.466
0.3824	13.352
0.3834	13.244
0.3846	13.171
0.3856	13.058
0.3866	12.94
0.3877	12.831
0.3887	12.731
0.3899	12.638
0.3909	12.552
0.3919	12.515
0.3931	12.395
0.3948	12.118
0.3958	12.072
0.3984	11.963
0.3994	11.97
0.4004	11.903
0.4016	11.751
0.4026	11.525
0.4037	11.407
0.4047	11.367
0.4057	11.267
0.4069	11.132
0.4079	11.014
0.4089	10.897
0.4101	10.808
0.4111	10.717
0.4122	10.491
0.4132	10.394
0.4143	10.352
0.4154	10.203
0.4164	10.175
0.4174	10.204
0.4185	10.103
0.4196	9.9832
0.4207	9.8985
0.4217	9.9304
0.4235	9.7916
0.4246	9.625
0.4263	9.5482
0.4281	9.2605
0.4292	9.2639
0.4302	9.3327
0.4313	8.7936
0.4324	8.7549
0.4334	8.8808
0.4344	9.2626
0.4355	9.508
0.4366	9.5178
0.4376	9.3817
0.4387	9.445
0.4397	9.4239
0.4409	9.2462
0.4419	8.8751
0.4429	9.1159
0.4441	8.9662
0.4451	9.1261
0.4461	9.2819
0.4472	9.5183
0.4482	9.9271
0.4493	10.024
0.4504	9.9623
0.4514	9.8872
0.4532	10.015
0.4543	9.9847
0.456	10.108
0.4578	10.517
0.4589	10.473
0.4599	10.328
0.461	10.425
0.4621	10.588
0.4631	10.655
0.4641	10.78
0.4652	10.865
0.4663	10.893
0.4674	10.929
0.4684	10.889
0.4694	10.911
0.4706	11.161
0.4716	11.379
0.4726	11.464
0.4738	11.531
0.4748	11.53
0.4758	11.487
0.4769	11.528
0.4779	11.641
0.479	11.688
0.4801	11.789
0.4811	11.766
0.4822	11.589
0.484	11.741
0.485	11.934
0.486	12.166
0.4886	12.215
0.4896	12.195
0.4906	12.236
0.4918	12.237
0.4928	12.252
0.4938	12.286
0.495	12.276
0.496	12.355
0.497	12.471
0.4981	12.596
0.4991	12.618
0.5002	12.609
0.5013	12.585
0.5023	12.657
0.5033	12.659
0.5045	12.608
0.5055	12.669
0.5065	12.765
0.5077	12.775
0.5087	12.747
0.5097	12.723
0.5108	12.772
0.5119	12.707
0.5129	12.732
0.514	12.729
0.5157	12.879
0.5168	12.785
0.5179	12.67
0.5196	12.747
0.5214	12.904
0.5224	12.943
0.5235	12.989
0.5245	13.027
0.5256	13.009
0.5267	12.935
0.5277	12.878
0.5287	12.911
0.5299	12.993
0.5309	13.053
0.5319	13.063
0.533	12.959
0.5341	12.936
0.5351	12.925
0.5362	12.91
0.5372	12.943
0.5383	13.011
0.5394	13.038
0.5404	12.995
0.5414	12.989
0.5426	12.922
0.5436	12.911
0.5446	12.947
0.5457	12.918
0.5468	12.847
0.5478	12.772
0.5496	12.692
0.5507	12.728
0.5524	12.783
0.5541	12.661
0.5553	12.639
0.5563	12.666
0.5573	12.684
0.5584	12.679
0.5595	12.672
0.5605	12.576
0.5615	12.559
0.5626	12.605
0.5637	12.579
0.5647	12.556
0.5658	12.441
0.5668	12.379
0.5679	12.435
0.569	12.41
0.57	12.352
0.571	12.268
0.5722	12.137
0.5732	12.134
0.5742	12.146
0.5753	12.032
0.5764	11.982
0.5774	12.079
0.5785	12.051
0.5795	11.96
0.5806	11.869
0.5816	11.833
0.5827	11.799
0.5845	11.851
0.5855	11.666
0.5872	11.528
0.5891	11.492
0.5901	11.525
0.5911	11.467
0.5922	11.458
0.5933	11.496
0.5943	11.53
0.5953	11.342
0.5964	11.224
0.5975	11.19
0.5985	11.081
0.5996	11.106
0.6006	11.003
0.6017	11.094
0.6028	11.087
0.6038	11.171
0.6048	11.301
0.6059	11.297
0.607	11.029
0.608	10.694
0.609	10.395
0.6102	10.452
0.6112	10.68
0.6122	10.361
0.6132	9.7925
0.6144	10.355
0.6154	10.53
0.6164	10.452
0.6175	10.426
0.6186	10.471
0.6203	9.352
0.6213	9.2998
0.6224	10.087
0.6242	9.5434
0.6259	9.1886
0.627	9.2085
0.6281	9.6928
0.6291	9.7617
0.6301	9.8455
0.6311	8.9354
0.6323	10.031
0.6333	10.551
0.6343	9.9184
0.6354	9.2047
0.6365	8.0996
0.6375	8.3674
0.6385	9.0693
0.6397	9.0956
0.6407	9.4845
0.6417	9.1733
0.6428	10.116
0.6439	10.135
0.6449	10.102
0.6459	10.144
0.647	9.9606
0.6481	9.7404
0.6491	9.7203
0.6502	9.2236
0.6512	8.9954
0.6522	9.0583
0.6533	9.0461
0.6544	9.7965
0.6554	10.248
0.6564	9.5182
0.6575	9.61
0.6593	9.7698
0.6603	9.9426
0.6614	10.153
0.6631	10.545
0.6649	9.2089
0.666	8.8983
0.667	8.9931
0.668	9.031
0.669	8.8958
0.6702	9.1054
0.6712	8.9994
0.6722	8.4025
0.6734	8.7912
0.6744	9.2323
0.6754	9.0493
0.6764	8.8124
0.6775	9.2271
0.6786	9.1941
0.6796	9.0232
0.6806	9.1333
0.6817	9.726
0.6828	9.086
0.6838	10.171
0.6848	9.4172
0.6859	9.5699
0.687	10.459
0.688	10.766
0.689	10.866
0.6901	10.22
0.6912	8.9798
0.6922	9.2039
0.6932	9.112
0.6943	9.1376
0.6954	9.3197
0.6964	9.1548
0.6975	8.7665
0.6985	8.6035
0.7003	9.3918
0.7013	9.8889
0.7023	9.891
0.7035	9.2007
0.7052	8.989
0.7069	9.3753
0.708	10.335
0.709	9.6144
0.7101	8.6381
0.7111	8.8222
0.7122	9.3403
0.7132	9.8123
0.7143	9.766
0.7153	8.9141
0.7164	8.9171
0.7174	8.9032
0.7184	9.1373
0.7195	9.278
0.7206	9.733
0.7216	10.679
0.7226	10.737
0.7237	10.812
0.7248	11.034
0.7258	10.828
0.7268	9.6721
0.7279	9.1887
0.7289	9.7828
0.73	10.562
0.731	10.314
0.7321	10.208
0.7331	10.116
0.7342	10.512
0.7503	9.9341
0.7513	10.967
0.753	11.007
0.754	11.155
0.7552	10.391
0.7562	10.909
0.7572	10.582
0.7582	9.9344
0.7594	9.6441
0.7604	10.011
0.7614	9.5272
0.7624	8.5903
0.7635	8.2184
0.7646	8.4261
0.7656	9.7941
0.7666	10.455
0.7677	10.587
0.7688	10.801
0.7698	9.702
0.7708	10.273
0.7719	9.7402
0.7729	9.7032
0.774	10.257
0.775	10.114
0.7761	9.894
0.7771	10.427
0.7782	9.6638
0.7792	8.5589
0.7803	8.3579
0.7813	9.356
0.7823	10.156
0.7834	10.304
0.7845	9.6688
0.7855	9.4609
0.7865	9.706
0.7875	8.961
0.8064	11.514
0.8074	11.003
0.8084	10.864
0.8095	11.897
0.8106	12.055
0.8116	11.565
0.8126	10.325
0.8136	8.8118
0.8148	9.1485
0.8158	9.6216
0.8168	9.7367
0.8178	10.758
0.8189	11.603
0.82	11.311
0.821	10.512
0.822	9.7806
0.8231	8.7267
0.8241	9.3547
0.8252	9.8494
0.8262	10.47
0.8273	10.72
0.8283	10.741
0.8293	10.084
0.8303	10.093
0.8315	10.014
0.8325	10.194
0.8335	10.509
0.8345	11.08
0.8387	10.643
0.8398	8.9526
0.8408	8.613
0.8418	8.7785
0.8429	8.5434
0.844	8.4599
0.845	8.4374
0.846	8.3379
0.847	8.5684
0.8481	9.0148
0.8492	9.1397
0.8502	8.7712
0.8512	9.4697
0.8523	9.8442
0.8533	8.9957
0.855	10.052
0.856	9.9271
0.8572	9.3569
0.8582	8.4804
0.8592	8.1769
0.8602	8.9424
0.862	11.232
0.863	10.878
0.864	10.166
0.8658	11.132
0.8668	11.844
0.8679	11.173
0.869	9.5991
0.87	9.6816
0.871	9.2071
0.872	9.1936
0.873	11.204
0.8742	10.621
0.8752	10.098
0.8762	9.8649
0.8772	8.8794
0.8783	8.7839
0.8793	8.2174
0.8804	8.2042
0.8814	8.1357
0.8825	8.0382
0.8835	9.3897
0.8845	9.0952
0.8855	8.6777
0.8866	8.6802
0.8877	9.215
0.8887	9.7235
0.8897	10.859
0.8908	10.927
0.8918	10.447
0.8928	10.347
0.8938	10.699
0.895	10.848
0.896	9.8413
0.897	8.8228
0.898	9.2293
0.8991	10.965
0.9001	10.383
0.9011	10.597
0.9022	10.444
0.9033	10.376
0.9043	10.976
0.9053	10.334
0.9063	10.433
0.9073	10.192
0.9084	9.9565
0.9095	9.6054
0.9105	9.4339
0.9115	9.2944
0.9126	9.0369
0.9136	9.2843
0.9146	10.333
0.9156	9.2033
0.9168	8.6212
0.9178	8.9217
0.9188	8.3502
0.9198	9.4537
0.9209	9.8681
0.9219	10.514
0.9229	9.9681
0.9239	9.2756
0.9251	10.077
0.9261	9.69
0.9271	10.516
0.9281	10.039
0.9292	9.5804
0.9302	9.8049
0.9319	11.624
0.933	10.648
0.934	9.3218
0.935	8.9393
0.9361	9.2532
0.9372	9.0457
0.9382	8.5392
0.9392	7.548
0.9409	9.8326
0.942	11.636
0.944	9.7031
0.945	10.289
0.9468	10.498
0.9478	10.145
0.9488	9.7775
0.9498	9.494
0.9509	9.4545
0.952	8.8473
0.953	8.7398
0.954	9.2373
0.9551	9.5348
0.9561	9.1153
0.9571	9.2218
0.9581	7.57
0.9592	7.381
0.9602	8.6342
0.9613	9.0271
0.9624	8.4196
0.9634	9.9441
0.9644	9.7466
0.9654	10.442
0.9664	11.104
0.9675	10.794
0.9685	8.5375
0.9695	7.843
0.9705	10.087
0.9717	10.662
0.9727	10.938
0.9737	10.09
