# z rho mu
83.5 1.33728e-06 0
83.5 1.29537e-06 0
84 1.29537e-06 0
84 1.24961e-06 0
84.5 1.24961e-06 0
84.5 1.20244e-06 0
85 1.20244e-06 0
85 1.15624e-06 0
85.5 1.15624e-06 0
85.5 1.11319e-06 0
86 1.11319e-06 0
86 1.07516e-06 0
86.5 1.07516e-06 0
86.5 1.04345e-06 0
87 1.04345e-06 0
87 1.01876e-06 0
87.5 1.01876e-06 0
87.5 1.00107e-06 0
88 1.00107e-06 0
88 9.89776e-07 0
88.5 9.89776e-07 0
88.5 9.8382e-07 0
89 9.8382e-07 0
89 9.81905e-07 0
89.5 9.81905e-07 0
89.5 9.82712e-07 0
90 9.82712e-07 0
90 9.85068e-07 0
90.5 9.85068e-07 0
90.5 9.88052e-07 0
91 9.88052e-07 0
91 9.91029e-07 0
91.5 9.91029e-07 0
91.5 9.93633e-07 0
92 9.93633e-07 0
92 9.95708e-07 0
92.5 9.95708e-07 0
92.5 9.97244e-07 0
93 9.97244e-07 0
93 9.9831e-07 0
93.5 9.9831e-07 0
93.5 9.99009e-07 0
94 9.99009e-07 0
94 9.99444e-07 0
94.5 9.99444e-07 0
94.5 1e-06 0
95 1e-06 0
95 1e-06 0
95.5 1e-06 0
95.5 1e-06 0
96 1e-06 0
96 1e-06 0
96.5 1e-06 0
96.5 1e-06 0
97 1e-06 0
97 1e-06 0
97.5 1e-06 0
97.5 1e-06 0
98 1e-06 0
98 1e-06 0
98.5 1e-06 0
98.5 1e-06 0
99 1e-06 0
99 1e-06 0
99.5 1e-06 0
99.5 1e-06 0
100 1e-06 0
100 1e-06 0
110 1e-06 0
