# Q Iq dIq dQ fit
3.629999999999999893e-01 6.368999999999999662e-02 1.144000000000000052e-03 1.795000000000000068e-02 6.667094471638689013e-02
3.675999999999999823e-01 6.395000000000000684e-02 1.137999999999999906e-03 1.814999999999999947e-02 6.661493127565354389e-02
3.721999999999999753e-01 6.676999999999999602e-02 1.203000000000000076e-03 1.836000000000000132e-02 6.655526402048198009e-02
3.768000000000000238e-01 6.226000000000000284e-02 1.118999999999999986e-03 1.856000000000000011e-02 6.649027165087020852e-02
3.814000000000000168e-01 6.389000000000000234e-02 1.208000000000000089e-03 1.875999999999999890e-02 6.642536540718042837e-02
3.859000000000000208e-01 6.324000000000000454e-02 1.157999999999999958e-03 1.897000000000000075e-02 6.635978108106167783e-02
3.905000000000000138e-01 6.507000000000000284e-02 1.268000000000000030e-03 1.916999999999999954e-02 6.629328349873300774e-02
3.950000000000000178e-01 6.322999999999999454e-02 1.237999999999999951e-03 1.936999999999999833e-02 6.623080099216933914e-02
3.995000000000000218e-01 6.275999999999999635e-02 1.281999999999999936e-03 1.957000000000000059e-02 6.617124592494159907e-02
4.040000000000000258e-01 6.506000000000000671e-02 1.141000000000000087e-03 1.976999999999999938e-02 6.611524008621912085e-02
4.083999999999999853e-01 6.507999999999999896e-02 1.219000000000000031e-03 1.997000000000000164e-02 6.606442127806848308e-02
4.128999999999999893e-01 6.296999999999999820e-02 1.188000000000000037e-03 2.016000000000000084e-02 6.601979985225792102e-02
4.173000000000000043e-01 6.410000000000000420e-02 1.198000000000000063e-03 2.035999999999999963e-02 6.597799103521757857e-02
4.217000000000000193e-01 6.468000000000000138e-02 1.152000000000000029e-03 2.055999999999999842e-02 6.594069180446074374e-02
4.260999999999999788e-01 6.303999999999999881e-02 1.129000000000000012e-03 2.076000000000000068e-02 6.590788538896658055e-02
4.304999999999999938e-01 6.385000000000000397e-02 1.150999999999999896e-03 2.094999999999999987e-02 6.587943012379916807e-02
4.348000000000000198e-01 6.346000000000000252e-02 1.124999999999999915e-03 2.114999999999999866e-02 6.585563379604242318e-02
4.391999999999999793e-01 6.446000000000000341e-02 1.299000000000000024e-03 2.134000000000000133e-02 6.583726915506563082e-02
4.435000000000000053e-01 6.325000000000000067e-02 1.296000000000000060e-03 2.154000000000000012e-02 6.582083377925901368e-02
4.477999999999999758e-01 6.433999999999999442e-02 1.132999999999999893e-03 2.172999999999999932e-02 6.580753322308721676e-02
4.521000000000000019e-01 6.306000000000000494e-02 1.445000000000000104e-03 2.191999999999999851e-02 6.579706416277200653e-02
4.562999999999999834e-01 6.568000000000000227e-02 1.152000000000000029e-03 2.211000000000000118e-02 6.578919984298914336e-02
4.606000000000000094e-01 6.210999999999999854e-02 1.064000000000000059e-03 2.230000000000000038e-02 6.578329000605248611e-02
4.647999999999999909e-01 6.364000000000000212e-02 1.280000000000000105e-03 2.248999999999999957e-02 6.577921895679469944e-02
4.689999999999999725e-01 6.275999999999999635e-02 1.281999999999999936e-03 2.267999999999999877e-02 6.577725399712285037e-02
4.732000000000000095e-01 6.497999999999999610e-02 9.952999999999999608e-04 2.287000000000000144e-02 6.577556626787028904e-02
4.773999999999999910e-01 6.128000000000000114e-02 1.381999999999999982e-03 2.306000000000000064e-02 6.577474859730507439e-02
4.814999999999999836e-01 6.010000000000000064e-02 1.252999999999999991e-03 2.324999999999999983e-02 6.577453700928161118e-02
4.855999999999999761e-01 6.371999999999999886e-02 1.201000000000000028e-03 2.343999999999999903e-02 6.577469569133610749e-02
4.897000000000000242e-01 6.496000000000000385e-02 1.204999999999999908e-03 2.361999999999999864e-02 6.577515310438047935e-02
4.938000000000000167e-01 6.432000000000000217e-02 1.262000000000000101e-03 2.381000000000000130e-02 6.577589110879650258e-02
4.979000000000000092e-01 6.208999999999999936e-02 1.325999999999999922e-03 2.399000000000000091e-02 6.577651064021179661e-02
