Chisq frac_deut l_lipid sigma background0 scale0 sld_solvent0 vf0 background1 scale1 sld_solvent1 background2 scale2 sld_solvent2 
-802.6885575169509 0.9272853618410417 10.975061368874629 2.3798045496655953 0.0626928290566688 12.157637310635641 6.242515046777064 0.021607857099059262 0.6747491429030748 6.098876437314566 1.9900363313895055 1.0831521850884331 6.216592817225503 -0.5505855378206608 
-3323.46641754958 0.8273736693399061 11.107361901396688 2.1924626514344787 0.06640501195575227 1.3146780388337793 6.398265578471453 0.061735243997113685 0.6663558587544782 2.48038913251413 1.668427703480905 1.0748419399756808 2.62940726455588 -0.5517883289575536 
-3162.2825351010447 0.7316011613098359 10.652265088260236 2.6126999986848682 0.06847692067152254 1.6747924305194264 6.351819511891222 0.03184681937870888 0.6748945271181586 8.447074993994798 1.8476567600816483 1.093798067213998 6.611165025660181 -0.5415503070706935 
-1015.095272024521 0.9158884597706962 9.686604415151015 2.940988064746603 0.06499461268478145 5.684920379642168 6.2335400027097645 0.049117289133945974 0.6708458846094366 2.931280818340049 1.6533775015646675 1.0857840130231509 3.4134341563819848 -0.549680560174354 
-5640.791676299539 0.7987529837061549 8.818340219904227 2.8738486847310187 0.06809180780424155 2.152510594415617 6.24339029189618 0.06524505204456123 0.6754116369282577 3.590203351465521 1.6540553130462619 1.1051572090825696 3.8769179129095517 -0.5429986272116245 
-1191.3754991371654 0.898584282486058 10.397960397955183 2.861065445178935 0.066091371172658 6.470093964933807 6.36695325120835 0.028816171958999277 0.6782602155042717 7.2803848061165395 2.3727205975332533 1.0987518226770117 5.245267276306847 -0.5525171224133262 
-2949.8009311596156 0.8609253194771372 9.708431488895283 2.859560050211174 0.06672458871204971 2.190331001717309 6.385104714190273 0.06565330823872284 0.6684637458181427 3.307140666667196 2.1051409203960483 1.0749074450808331 2.9822014405949866 -0.5412060670167822 
-1172.033038137785 0.8978991227059364 11.650587470231484 2.5248402102290832 0.06400877454482495 6.755911763544456 6.346594547131669 0.021720437659382464 0.6804248631392903 6.285620002051244 2.075993733142833 1.1014529017666335 5.843027202629208 -0.5562845846483913 
-4871.080959183248 0.7754832584032171 9.441978248639979 2.9701737468406058 0.06547106308475241 1.8951588116083593 6.221612626014729 0.05877287892895289 0.6768556452173133 6.555615819081228 2.191586364767819 1.0967927388267298 3.818862717702598 -0.5541163324647109 
-1855.1935734669821 0.8119101480730632 10.755845056575573 2.2837019915287318 0.06469575716895633 2.121059539725799 6.205645640975272 0.05019848453477043 0.6780595416770135 4.536722410287388 2.102809044377772 1.100626666867542 3.4085653191916023 -0.5532898075015199 
