COMBINED FILE CREATED: Wed, Mar 14, 2018 
NSORT-ed   MAR18293.ABS	  +  MAR18278.ABS	  +  MAR18271.ABS	 + MAR18264.ABS
normalized to   MAR18293.ABS
multiplicative factor 1-2 =            1	 multiplicative factor 2-3 =            1	 multiplicative factor 3-4 =         0.98
The 6 columns are | Q (1/A) | I(Q) (1/cm) | std. dev. I(Q) (1/cm) | sigmaQ | meanQ | ShadowFactor|
         0.1838         0.07084       0.0009097         0.01123          0.1839               1
         0.1877         0.07181       0.0009205         0.01143          0.1877               1
         0.1915          0.0713          0.0009         0.01163          0.1916               1
         0.1954         0.07176       0.0009264         0.01183          0.1954               1
         0.1992         0.07215       0.0008762         0.01203          0.1993               1
         0.2031         0.07097       0.0009488         0.01223          0.2031               1
         0.2069          0.0716       0.0008563         0.01243          0.2069               1
         0.2107         0.07117       0.0009505         0.01264          0.2108               1
         0.2145          0.0721       0.0008541         0.01284          0.2146               1
         0.2184         0.07133       0.0008442         0.01304          0.2184               1
         0.2222         0.07253       0.0008444         0.01324          0.2222               1
          0.226         0.07396       0.0008421         0.01344           0.226               1
         0.2297         0.07086         0.00087         0.01364          0.2298               1
         0.2335         0.07179       0.0008345         0.01384          0.2336               1
         0.2373         0.07002       0.0008785         0.01405          0.2373               1
         0.2411         0.07272       0.0008577         0.01425          0.2411               1
         0.2448          0.0736        0.001029         0.01445          0.2449               1
         0.2486         0.07224       0.0009753         0.01465          0.2486               1
         0.2523         0.07185       0.0009037         0.01485          0.2524               1
         0.2561         0.07267        0.000978         0.01505          0.2561               1
         0.2598         0.07286       0.0009996         0.01525          0.2598               1
         0.2635         0.07288        0.001123         0.01545          0.2636               1
         0.2673         0.07326        0.001082         0.01565          0.2673               1
          0.271         0.07299        0.001031         0.01585           0.271               1
         0.2747         0.07345         0.00106         0.01605          0.2747               1
         0.2784         0.07424        0.001014         0.01625          0.2784               1
          0.282         0.07403       0.0009555         0.01645          0.2821               1
         0.2857         0.07397        0.001029         0.01665          0.2857               1
         0.2894         0.07364       0.0009562         0.01685          0.2894               1
          0.293         0.07247        0.001058         0.01705          0.2931               1
         0.2967         0.07401        0.001015         0.01725          0.2967               1
         0.3003         0.07368        0.001122         0.01745          0.3004               1
          0.304         0.07463        0.001061         0.01765           0.304               1
         0.3076         0.07405         0.00106         0.01784          0.3076               1
         0.3112         0.07268        0.001095         0.01804          0.3112               1
         0.3148         0.07415         0.00107         0.01824          0.3149               1
         0.3184         0.07609        0.001143         0.01843          0.3185               1
          0.322         0.07186        0.001145         0.01863           0.322               1
         0.3256         0.07294        0.001104         0.01883          0.3256               1
         0.3292         0.07268       0.0009798         0.01902          0.3292               1
         0.3327         0.07332         0.00105         0.01922          0.3328               1
         0.3363         0.07516          0.0011         0.01941          0.3363               1
         0.3398          0.0743        0.001088         0.01961          0.3399               1
         0.3434         0.07376       0.0009957          0.0198          0.3434               1
         0.3469         0.07275        0.001077         0.01999          0.3469               1
         0.3504         0.07391        0.001104         0.02019          0.3505               1
         0.3539         0.07397        0.001103         0.02038           0.354               1
         0.3574         0.07329        0.001269         0.02057          0.3575               1
         0.3609         0.07346        0.001133         0.02076           0.361               1
         0.3644         0.07446        0.001105         0.02095          0.3644               1
         0.3679         0.07522        0.001215         0.02114          0.3679               1
         0.3713         0.07427        0.001118         0.02133          0.3714               1
